id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
TNUK-TX1,transplant_center,University of Tennessee Medical Center at Knoxville,Tennessee,54,,,missing,2,blank_lat_lon,"University of Tennessee Medical Center at Knoxville, Tennessee (transplant center hospital)"
TXHH-TX1,transplant_center,"Memorial Hermann Hospital, University of Texas at Houston",Texas,52,,,missing,2,blank_lat_lon,"Memorial Hermann Hospital, University of Texas at Houston, Texas (transplant center hospital)"
MOCH-TX1,transplant_center,St. Louis Children's Hospital at Washington University Medical Center,Missouri,49,,,missing,3,blank_lat_lon,"St. Louis Children's Hospital at Washington University Medical Center, Missouri (transplant center hospital)"
TXFW-TX1,transplant_center,Texas Health Harris Methodist Fort Worth Hospital,Texas,49,,,missing,3,blank_lat_lon,"Texas Health Harris Methodist Fort Worth Hospital, Texas (transplant center hospital)"
NYSB-TX1,transplant_center,University Hospital of State University of New York at Stony Brook,New York,47,,,missing,3,blank_lat_lon,"University Hospital of State University of New York at Stony Brook, New York (transplant center hospital)"
DECC-TX1,transplant_center,Christiana Care Health Services,Delaware,46,,,missing,3,blank_lat_lon,"Christiana Care Health Services, Delaware (transplant center hospital)"
PAHH-TX1,transplant_center,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,40,,,missing,3,blank_lat_lon,"Pinnacle Health System at Harrisburg Hospital, Pennsylvania (transplant center hospital)"
NYDS-TX1,transplant_center,"State University of New York, Downstate Medical Center",New York,36,,,missing,3,blank_lat_lon,"State University of New York, Downstate Medical Center, New York (transplant center hospital)"
TXPM-TX1,transplant_center,Parkland Health and Hospital System,Texas,33,,,missing,3,blank_lat_lon,"Parkland Health and Hospital System, Texas (transplant center hospital)"
TNEM-TX1,transplant_center,Erlanger Medical Center,Tennessee,26,,,missing,3,blank_lat_lon,"Erlanger Medical Center, Tennessee (transplant center hospital)"
NMAQ-TX1,transplant_center,"University Hospital, University of New Mexico Health Sciences Center",New Mexico,25,,,missing,3,blank_lat_lon,"University Hospital, University of New Mexico Health Sciences Center, New Mexico (transplant center hospital)"
DCWR-TX1,transplant_center,Walter Reed National Military Medical Center at Bethesda,District of Columbia,19,,,missing,3,blank_lat_lon,"Walter Reed National Military Medical Center at Bethesda, District of Columbia (transplant center hospital)"
SDSV-TX1,transplant_center,Sanford Health/USD Medical Center,South Dakota,19,,,missing,3,blank_lat_lon,"Sanford Health/USD Medical Center, South Dakota (transplant center hospital)"
WVWU-TX1,transplant_center,West Virginia University Hospitals Inc.,West Virginia,19,,,missing,3,blank_lat_lon,"West Virginia University Hospitals Inc., West Virginia (transplant center hospital)"
CACH-TX1,transplant_center,Rady Children's Hospital and Health Center,California,17,,,missing,3,blank_lat_lon,"Rady Children's Hospital and Health Center, California (transplant center hospital)"
TNLB-TX1,transplant_center,Le Bonheur Children's Medical Center,Tennessee,16,,,missing,3,blank_lat_lon,"Le Bonheur Children's Medical Center, Tennessee (transplant center hospital)"
