id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
MDUM-TX1,transplant_center,University of Maryland Medical System,Maryland,Region  2,212,39.2875087,-76.61880565,manual,"University of Maryland Medical System, Maryland, transplant center",,,,,
MABI-TX1,transplant_center,Beth Israel Deaconess Medical Center,Massachusetts,Region  1,210,42.2475,-71.003,facility_or_city,"Beth Israel Deaconess Medical Center, Massachusetts, transplant center",,,,,
TNMH-TX1,transplant_center,Methodist University Hospital,Tennessee,Region  11,210,39.7912,-86.1632,facility_or_city,"Methodist University Hospital, Tennessee, transplant center",,,,,
TXMC-TX1,transplant_center,Methodist Dallas Medical Center,Texas,Region  4,202,32.7613,-96.825,facility_or_city,"Methodist Dallas Medical Center, Texas, transplant center",,,,,
OKBC-TX1,transplant_center,Integris Baptist Medical Center,Oklahoma,Region  4,201,35.5295,-97.5765,facility_or_city,"Integris Baptist Medical Center, Oklahoma, transplant center",,,,,
ARUA-TX1,transplant_center,UAMS Medical Center,Arkansas,Region  3,199,,,missing,"UAMS Medical Center, Arkansas, transplant center",,,,,
KYUK-TX1,transplant_center,University of Kentucky Medical Center,Kentucky,Region  11,196,,,missing,"University of Kentucky Medical Center, Kentucky, transplant center",,,,,
OHCO-TX1,transplant_center,University of Toledo Medical Center,Ohio,Region  11,189,41.62,-83.617,facility_or_city,"University of Toledo Medical Center, Ohio, transplant center",,,,,
TNST-TX1,transplant_center,Saint Thomas Hospital,Tennessee,Region  11,185,36.1297,-86.8446,facility_or_city,"Saint Thomas Hospital, Tennessee, transplant center",,,,,
PATJ-TX1,transplant_center,Thomas Jefferson University Hospital,Pennsylvania,Region  2,184,39.9493,-75.158,facility_or_city,"Thomas Jefferson University Hospital, Pennsylvania, transplant center",,,,,
NCBG-TX1,transplant_center,Wake Forest Baptist Medical Center,North Carolina,Region  11,182,36.0898,-80.2677,facility_or_city,"Wake Forest Baptist Medical Center, North Carolina, transplant center",,,,,
NVUM-TX1,transplant_center,University Medical Center of Southern Nevada,Nevada,Region  5,179,,,missing,"University Medical Center of Southern Nevada, Nevada, transplant center",,,,,
LATU-TX1,transplant_center,Tulane Medical Center,Louisiana,Region  3,177,29.9559,-90.0763,facility_or_city,"Tulane Medical Center, Louisiana, transplant center",,,,,
NYFL-TX1,transplant_center,"Strong Memorial Hospital, University of Rochester Medical Center",New York,Region  9,173,,,missing,"Strong Memorial Hospital, University of Rochester Medical Center, New York, transplant center",,,,,
FLMR-TX1,transplant_center,Memorial Regional Hospital,Florida,Region  3,170,26.0196,-80.1799,facility_or_city,"Memorial Regional Hospital, Florida, transplant center",,,,,
NYWC-TX1,transplant_center,Westchester Medical Center,New York,Region  9,168,41.0874,-73.8067,facility_or_city,"Westchester Medical Center, New York, transplant center",,,,,
MSUM-TX1,transplant_center,University of Mississippi Medical Center,Mississippi,Region  3,167,32.3309,-90.1723,facility_or_city,"University of Mississippi Medical Center, Mississippi, transplant center",,,,,
AZGS-TX1,transplant_center,Banner-University Medical Center Phoenix,Arizona,Region  5,165,33.4647,-112.0586,facility_or_city,"Banner-University Medical Center Phoenix, Arizona, transplant center",,,,,
ILPL-TX1,transplant_center,Rush University Medical Center,Illinois,Region  7,164,41.8746,-87.6691,facility_or_city,"Rush University Medical Center, Illinois, transplant center",,,,,
MANM-TX1,transplant_center,Tufts Medical Center,Massachusetts,Region  1,160,42.3497,-71.0639,facility_or_city,"Tufts Medical Center, Massachusetts, transplant center",,,,,
PAAG-TX1,transplant_center,Allegheny General Hospital,Pennsylvania,Region  2,155,40.457,-80.0033,facility_or_city,"Allegheny General Hospital, Pennsylvania, transplant center",,,,,
MAUM-TX1,transplant_center,UMass Memorial Medical Center,Massachusetts,Region  1,154,42.2852,-71.7897,facility_or_city,"UMass Memorial Medical Center, Massachusetts, transplant center",,,,,
MALC-TX1,transplant_center,Lahey Clinic Medical Center,Massachusetts,Region  1,152,42.4846,-71.2042,facility_or_city,"Lahey Clinic Medical Center, Massachusetts, transplant center",,,,,
AZSJ-TX1,transplant_center,St. Joseph's Hospital and Medical Center,Arizona,Region  5,144,,,missing,"St. Joseph's Hospital and Medical Center, Arizona, transplant center",,,,,
CTYN-TX1,transplant_center,Yale New Haven Hospital,Connecticut,Region  1,137,41.3046,-72.9356,facility_or_city,"Yale New Haven Hospital, Connecticut, transplant center",,,,,
MAPB-TX1,transplant_center,Brigham and Women's Hospital,Massachusetts,Region  1,134,42.3356,-71.106,facility_or_city,"Brigham and Women's Hospital, Massachusetts, transplant center",,,,,
PAAE-TX1,transplant_center,Albert Einstein Medical Center,Pennsylvania,Region  2,133,,,missing,"Albert Einstein Medical Center, Pennsylvania, transplant center",,,,,
PALV-TX1,transplant_center,Lehigh Valley Hospital,Pennsylvania,Region  2,133,40.5652,-75.522,facility_or_city,"Lehigh Valley Hospital, Pennsylvania, transplant center",,,,,
TXTC-TX1,transplant_center,Texas Children's Hospital,Texas,Region  4,133,29.7069,-95.4023,facility_or_city,"Texas Children's Hospital, Texas, transplant center",,,,,
CTHH-TX1,transplant_center,Hartford Hospital,Connecticut,Region  1,130,41.7541,-72.6794,facility_or_city,"Hartford Hospital, Connecticut, transplant center",,,,,
NJLL-TX1,transplant_center,Virtua Our Lady of Lourdes Hospital,New Jersey,Region  2,130,,,missing,"Virtua Our Lady of Lourdes Hospital, New Jersey, transplant center",,,,,
SCPG-TX1,transplant_center,Prisma Health Greenville Memorial Hospital,South Carolina,Region  11,129,34.8196,-82.4104,facility_or_city,"Prisma Health Greenville Memorial Hospital, South Carolina, transplant center",,,,,
KYJH-TX1,transplant_center,Jewish Hospital,Kentucky,Region  11,127,38.2503,-85.7502,facility_or_city,"Jewish Hospital, Kentucky, transplant center",,,,,
FLLM-TX1,transplant_center,Largo Medical Center,Florida,Region  3,121,27.9599,-82.7413,facility_or_city,"Largo Medical Center, Florida, transplant center",,,,,
MOLH-TX1,transplant_center,St Luke's Hospital of Kansas City,Missouri,Region  8,118,39.0483,-94.5911,facility_or_city,"St Luke's Hospital of Kansas City, Missouri, transplant center",,,,,
SCLA-TX1,transplant_center,MUSC Lancaster,South Carolina,Region  11,117,34.7178,-80.7884,facility_or_city,"MUSC Lancaster, South Carolina, transplant center",,,,,
TXAS-TX1,transplant_center,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,Region  4,114,,,missing,"Baylor  Scott and White All Saints Medical Center-Fort Worth, Texas, transplant center",,,,,
HIQM-TX1,transplant_center,The Queen's Medical Center,Hawaii,Region  6,112,21.3081,-157.8539,facility_or_city,"The Queen's Medical Center, Hawaii, transplant center",,,,,
MIBH-TX1,transplant_center,Corewell Health William Beaumont University Hospital,Michigan,Region  10,109,,,missing,"Corewell Health William Beaumont University Hospital, Michigan, transplant center",,,,,
