organ,to_date,year,transplants
Kidney-Pancreas-Heart,9,2026,0
Liver-Heart,758,1988,0
Liver-Heart,758,1989,0
Liver-Heart,758,1990,0
Liver-Heart,758,1991,0
Liver-Heart,758,1992,1
Liver-Heart,758,1993,2
Liver-Heart,758,1994,0
Liver-Heart,758,1995,1
Liver-Heart,758,1996,3
Liver-Heart,758,1997,6
Liver-Heart,758,1998,2
Liver-Heart,758,1999,4
Liver-Heart,758,2000,1
Liver-Heart,758,2001,4
Liver-Heart,758,2002,2
Liver-Heart,758,2003,1
Liver-Heart,758,2004,9
Liver-Heart,758,2005,5
Liver-Heart,758,2006,6
Liver-Heart,758,2007,10
Liver-Heart,758,2008,10
Liver-Heart,758,2009,11
Liver-Heart,758,2010,15
Liver-Heart,758,2011,15
Liver-Heart,758,2012,22
Liver-Heart,758,2013,16
Liver-Heart,758,2014,18
Liver-Heart,758,2015,28
Liver-Heart,758,2016,18
Liver-Heart,758,2017,29
Liver-Heart,758,2018,39
Liver-Heart,758,2019,45
Liver-Heart,758,2020,44
Liver-Heart,758,2021,51
Liver-Heart,758,2022,79
Liver-Heart,758,2023,73
Liver-Heart,758,2024,73
Liver-Heart,758,2025,92
Liver-Heart,758,2026,23
Liver-Heart-Lung,14,1988,0
Liver-Heart-Lung,14,1989,0
Liver-Heart-Lung,14,1990,0
Liver-Heart-Lung,14,1991,0
Liver-Heart-Lung,14,1992,0
Liver-Heart-Lung,14,1993,0
Liver-Heart-Lung,14,1994,0
Liver-Heart-Lung,14,1995,0
Liver-Heart-Lung,14,1996,1
Liver-Heart-Lung,14,1997,0
Liver-Heart-Lung,14,1998,1
Liver-Heart-Lung,14,1999,0
Liver-Heart-Lung,14,2000,2
Liver-Heart-Lung,14,2001,0
Liver-Heart-Lung,14,2002,1
Liver-Heart-Lung,14,2003,1
Liver-Heart-Lung,14,2004,1
Liver-Heart-Lung,14,2005,1
Liver-Heart-Lung,14,2006,0
Liver-Heart-Lung,14,2007,0
Liver-Heart-Lung,14,2008,1
Liver-Heart-Lung,14,2009,1
Liver-Heart-Lung,14,2010,2
Liver-Heart-Lung,14,2011,0
Liver-Heart-Lung,14,2012,0
Liver-Heart-Lung,14,2013,0
Liver-Heart-Lung,14,2014,0
Liver-Heart-Lung,14,2015,0
Liver-Heart-Lung,14,2016,0
Liver-Heart-Lung,14,2017,1
Liver-Heart-Lung,14,2018,0
Liver-Heart-Lung,14,2019,0
Liver-Heart-Lung,14,2020,0
Liver-Heart-Lung,14,2021,0
Liver-Heart-Lung,14,2022,0
Liver-Heart-Lung,14,2023,0
Liver-Heart-Lung,14,2024,1
Liver-Heart-Lung,14,2025,0
Liver-Heart-Lung,14,2026,0
Liver-Intestine,468,1988,0
Liver-Intestine,468,1989,0
Liver-Intestine,468,1990,4
Liver-Intestine,468,1991,8
Liver-Intestine,468,1992,12
Liver-Intestine,468,1993,12
Liver-Intestine,468,1994,14
Liver-Intestine,468,1995,20
Liver-Intestine,468,1996,22
Liver-Intestine,468,1997,29
Liver-Intestine,468,1998,27
Liver-Intestine,468,1999,25
Liver-Intestine,468,2000,35
