id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
UTPC-TX1,transplant_center,Primary Children's Hospital,Utah,Region  5,38,0,38,12,,,missing,3,"Primary Children's Hospital, Utah (transplant center hospital)",
PACP-TX1,transplant_center,Children's Hospital of Philadelphia,Pennsylvania,Region  2,37,0,37,17,,,missing,3,"Children's Hospital of Philadelphia, Pennsylvania (transplant center hospital)",
IAIM-TX1,transplant_center,Iowa Methodist Medical Center,Iowa,Region  8,36,0,36,6,,,missing,3,"Iowa Methodist Medical Center, Iowa (transplant center hospital)",
NYDS-TX1,transplant_center,"State University of New York, Downstate Medical Center",New York,Region  9,36,0,36,13,,,missing,3,"State University of New York, Downstate Medical Center, New York (transplant center hospital)",
DCWH-TX1,transplant_center,Washington Hospital Center,District of Columbia,Region  2,35,0,35,17,,,missing,3,"Washington Hospital Center, District of Columbia (transplant center hospital)",
OHCH-TX1,transplant_center,Nationwide Children's Hospital,Ohio,Region  11,34,0,34,18,,,missing,3,"Nationwide Children's Hospital, Ohio (transplant center hospital)",
OKSJ-TX1,transplant_center,St John Medical Center,Oklahoma,Region  4,34,0,34,7,,,missing,3,"St John Medical Center, Oklahoma (transplant center hospital)",
TXPM-TX1,transplant_center,Parkland Health and Hospital System,Texas,Region  4,33,0,33,7,,,missing,3,"Parkland Health and Hospital System, Texas (transplant center hospital)",
NDSL-TX1,transplant_center,Sanford Medical Center Fargo,North Dakota,Region  7,31,0,31,8,,,missing,3,"Sanford Medical Center Fargo, North Dakota (transplant center hospital)",
COCH-TX1,transplant_center,Children's Hospital Colorado,Colorado,Region  8,30,0,30,9,,,missing,3,"Children's Hospital Colorado, Colorado (transplant center hospital)",
NYAM-TX1,transplant_center,Albany Medical Center Hospital,New York,Region  9,30,0,30,11,,,missing,3,"Albany Medical Center Hospital, New York (transplant center hospital)",
RIRH-TX1,transplant_center,Rhode Island Hospital,Rhode Island,Region  1,30,0,30,7,,,missing,3,"Rhode Island Hospital, Rhode Island (transplant center hospital)",
MABS-TX1,transplant_center,Baystate Medical Center,Massachusetts,Region  1,28,0,28,5,,,missing,3,"Baystate Medical Center, Massachusetts (transplant center hospital)",
NMPH-TX1,transplant_center,Presbyterian Hospital,New Mexico,Region  5,28,0,28,4,,,missing,3,"Presbyterian Hospital, New Mexico (transplant center hospital)",
FLSH-TX1,transplant_center,Ascension Sacred Heart Pensacola,Florida,Region  3,27,0,27,9,,,missing,3,"Ascension Sacred Heart Pensacola, Florida (transplant center hospital)",
MISJ-TX1,transplant_center,Ascension St. John Hospital,Michigan,Region  10,26,0,26,9,,,missing,3,"Ascension St. John Hospital, Michigan (transplant center hospital)",
MNAN-TX1,transplant_center,Abbott Northwestern Hospital,Minnesota,Region  7,26,0,26,9,,,missing,3,"Abbott Northwestern Hospital, Minnesota (transplant center hospital)",
TNEM-TX1,transplant_center,Erlanger Medical Center,Tennessee,Region  11,26,0,26,9,,,missing,3,"Erlanger Medical Center, Tennessee (transplant center hospital)",
AZCH-TX1,transplant_center,Phoenix Children's Hospital,Arizona,Region  5,25,0,25,8,,,missing,3,"Phoenix Children's Hospital, Arizona (transplant center hospital)",
NMAQ-TX1,transplant_center,"University Hospital, University of New Mexico Health Sciences Center",New Mexico,Region  5,25,0,25,4,,,missing,3,"University Hospital, University of New Mexico Health Sciences Center, New Mexico (transplant center hospital)",
ALCH-TX1,transplant_center,Children's of Alabama,Alabama,Region  3,24,0,24,10,,,missing,3,"Children's of Alabama, Alabama (transplant center hospital)",
VAHD-TX1,transplant_center,Henrico Doctors' Hospital,Virginia,Region  11,23,0,23,9,,,missing,3,"Henrico Doctors' Hospital, Virginia (transplant center hospital)",
MABU-TX1,transplant_center,Boston Medical Center,Massachusetts,Region  1,21,0,21,4,,,missing,3,"Boston Medical Center, Massachusetts (transplant center hospital)",
MEMC-TX1,transplant_center,Maine Medical Center,Maine,Region  1,20,0,20,3,,,missing,3,"Maine Medical Center, Maine (transplant center hospital)",
MOCM-TX1,transplant_center,Children's Mercy Hospital,Missouri,Region  8,20,0,20,11,,,missing,3,"Children's Mercy Hospital, Missouri (transplant center hospital)",
CAMB-TX1,transplant_center,UCSF Medical Center at Mission Bay,California,Region  5,19,0,19,7,,,missing,3,"UCSF Medical Center at Mission Bay, California (transplant center hospital)",
DCWR-TX1,transplant_center,Walter Reed National Military Medical Center at Bethesda,District of Columbia,Region  2,19,0,19,13,,,missing,3,"Walter Reed National Military Medical Center at Bethesda, District of Columbia (transplant center hospital)",
ILMM-TX1,transplant_center,Springfield Memorial Hospital,Illinois,Region  7,19,0,19,7,,,missing,3,"Springfield Memorial Hospital, Illinois (transplant center hospital)",
SDMK-TX1,transplant_center,Avera McKennan Hospital,South Dakota,Region  7,19,0,19,6,,,missing,3,"Avera McKennan Hospital, South Dakota (transplant center hospital)",
SDSV-TX1,transplant_center,Sanford Health/USD Medical Center,South Dakota,Region  7,19,0,19,5,,,missing,3,"Sanford Health/USD Medical Center, South Dakota (transplant center hospital)",
WVWU-TX1,transplant_center,West Virginia University Hospitals Inc.,West Virginia,Region  2,19,0,19,13,,,missing,3,"West Virginia University Hospitals Inc., West Virginia (transplant center hospital)",
CACH-TX1,transplant_center,Rady Children's Hospital and Health Center,California,Region  5,17,0,17,6,,,missing,3,"Rady Children's Hospital and Health Center, California (transplant center hospital)",
WICH-TX1,transplant_center,Children's Hospital of Wisconsin,Wisconsin,Region  7,17,0,17,10,,,missing,3,"Children's Hospital of Wisconsin, Wisconsin (transplant center hospital)",
