center_id,center_name,state,region
NYCP-TX1,NY Presbyterian Hospital/Columbia Univ. Medical Center,New York,Region  9
NYDS-TX1,"State University of New York, Downstate Medical Center",New York,Region  9
NYEC-TX1,Erie County Medical Center,New York,Region  9
NYFL-TX1,"Strong Memorial Hospital, University of Rochester Medical Center",New York,Region  9
NYMA-TX1,Montefiore Medical Center,New York,Region  9
NYMS-TX1,Mount Sinai Medical Center,New York,Region  9
NYNS-TX1,North Shore University Hospital/Northwell Health,New York,Region  9
NYNY-TX1,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,Region  9
NYSB-TX1,University Hospital of State University of New York at Stony Brook,New York,Region  9
NYUC-TX1,NYU Langone Health,New York,Region  9
NYUM-TX1,State University of New York Upstate Medical University,New York,Region  9
NYVA-TX1,James J. Peters VA Medical Center,New York,Region  9
NYWC-TX1,Westchester Medical Center,New York,Region  9
OHAC-TX1,Akron City Hospital,Ohio,Region  11
OHCC-TX1,The Cleveland Clinic Foundation,Ohio,Region  11
OHCH-TX1,Nationwide Children's Hospital,Ohio,Region  11
OHCM-TX1,Children's Hospital Medical Center,Ohio,Region  11
OHCO-TX1,University of Toledo Medical Center,Ohio,Region  11
OHOU-TX1,Ohio State University Medical Center,Ohio,Region  11
OHSE-TX1,St. Elizabeth Health Center,Ohio,Region  11
OHTC-TX1,The Christ Hospital,Ohio,Region  11
OHUC-TX1,University of Cincinnati  Medical Center,Ohio,Region  11
OHUH-TX1,University Hospitals of Cleveland,Ohio,Region  11
OKBC-TX1,Integris Baptist Medical Center,Oklahoma,Region  4
OKCM-TX1,Children's Hospital of Oklahoma,Oklahoma,Region  4
OKMD-TX1,OU Medical Center,Oklahoma,Region  4
OKSJ-TX1,St John Medical Center,Oklahoma,Region  4
ORGS-TX1,Legacy Good Samaritan Hospital and Medical Center,Oregon,Region  6
ORSV-TX1,Providence St. Vincent Medical Center,Oregon,Region  6
ORUO-TX1,Oregon Health and Science University,Oregon,Region  6
