id,type,name,state,region,lat,lon,notes
TXTC-TX1,transplant_center,Texas Children's Hospital,Texas,Region  4,,,
CTHH-TX1,transplant_center,Hartford Hospital,Connecticut,Region  1,,,
NJLL-TX1,transplant_center,Virtua Our Lady of Lourdes Hospital,New Jersey,Region  2,,,
SCPG-TX1,transplant_center,Prisma Health Greenville Memorial Hospital,South Carolina,Region  11,,,
KYJH-TX1,transplant_center,Jewish Hospital,Kentucky,Region  11,,,
FLLM-TX1,transplant_center,Largo Medical Center,Florida,Region  3,,,
MOLH-TX1,transplant_center,St Luke's Hospital of Kansas City,Missouri,Region  8,,,
SCLA-TX1,transplant_center,MUSC Lancaster,South Carolina,Region  11,,,
TXAS-TX1,transplant_center,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,Region  4,,,
HIQM-TX1,transplant_center,The Queen's Medical Center,Hawaii,Region  6,21.0943,-157.4983,
MIBH-TX1,transplant_center,Corewell Health William Beaumont University Hospital,Michigan,Region  10,,,
NYEC-TX1,transplant_center,Erie County Medical Center,New York,Region  9,,,
ILVA-TX1,transplant_center,Edward Hines Jr. Veterans Administration Medical Center,Illinois,Region  7,,,
COPM-TX1,transplant_center,AdventHealth Porter,Colorado,Region  8,,,
IAIV-TX1,transplant_center,University of Iowa Hospitals and Clinics Transplant Programs,Iowa,Region  8,,,
MISH-TX1,transplant_center,Corewell Health Grand Rapids Hospitals,Michigan,Region  10,,,
NJRW-TX1,transplant_center,Robert Wood Johnson University Hospital,New Jersey,Region  2,,,
PRSJ-TX1,transplant_center,Auxilio Mutuo Hospital,Puerto Rico,Region  3,,,
MOSL-TX1,transplant_center,SSM Health Saint Louis University Hospital,Missouri,Region  8,,,
VANG-TX1,transplant_center,Sentara Norfolk General Hospital,Virginia,Region  11,,,
TXDR-TX1,transplant_center,Doctor's Hospital at Renaissance,Texas,Region  4,,,
WASH-TX1,transplant_center,Providence Sacred Heart Medical Center & Children's Hospital,Washington,Region  6,,,
CASH-TX1,transplant_center,Sharp Memorial Hospital,California,Region  5,,,
LAWK-TX1,transplant_center,Willis-Knighton Medical Center,Louisiana,Region  3,,,
INSV-TX1,transplant_center,Ascension St. Vincent Hospital,Indiana,Region  10,,,
NCEC-TX1,transplant_center,ECU Health Medical Center,North Carolina,Region  11,,,
TXPL-TX1,transplant_center,Medical City Fort Worth,Texas,Region  4,,,
TXSW-TX1,transplant_center,Scott and White Memorial Hospital,Texas,Region  4,,,
COSL-TX1,transplant_center,Presbyterian/St Luke's Medical Center,Colorado,Region  8,,,
WISL-TX1,transplant_center,Aurora St. Luke's Medical Center,Wisconsin,Region  7,,,
WVCA-TX1,transplant_center,Charleston Area Medical Center,West Virginia,Region  2,,,
