id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
TNST-TX1,transplant_center,Saint Thomas Hospital,Tennessee,Region  11,185,0,185,32,,,missing,2,"Saint Thomas Hospital, Tennessee (transplant center hospital)",
PATJ-TX1,transplant_center,Thomas Jefferson University Hospital,Pennsylvania,Region  2,184,0,184,32,,,missing,2,"Thomas Jefferson University Hospital, Pennsylvania (transplant center hospital)",
NCBG-TX1,transplant_center,Wake Forest Baptist Medical Center,North Carolina,Region  11,182,0,182,30,,,missing,2,"Wake Forest Baptist Medical Center, North Carolina (transplant center hospital)",
NVUM-TX1,transplant_center,University Medical Center of Southern Nevada,Nevada,Region  5,179,0,179,28,,,missing,2,"University Medical Center of Southern Nevada, Nevada (transplant center hospital)",
NYFL-IO1,source_dsa,Finger Lakes Donor Recovery Network,New York,Region  9,0,179,179,64,,,missing,2,"Finger Lakes Donor Recovery Network, New York (organ procurement)",
LATU-TX1,transplant_center,Tulane Medical Center,Louisiana,Region  3,177,0,177,26,,,missing,2,"Tulane Medical Center, Louisiana (transplant center hospital)",
NYFL-TX1,transplant_center,"Strong Memorial Hospital, University of Rochester Medical Center",New York,Region  9,173,0,173,25,,,missing,2,"Strong Memorial Hospital, University of Rochester Medical Center, New York (transplant center hospital)",
FLMR-TX1,transplant_center,Memorial Regional Hospital,Florida,Region  3,170,0,170,25,,,missing,2,"Memorial Regional Hospital, Florida (transplant center hospital)",
NYWC-TX1,transplant_center,Westchester Medical Center,New York,Region  9,168,0,168,21,,,missing,2,"Westchester Medical Center, New York (transplant center hospital)",
MSUM-TX1,transplant_center,University of Mississippi Medical Center,Mississippi,Region  3,167,0,167,18,,,missing,2,"University of Mississippi Medical Center, Mississippi (transplant center hospital)",
AZGS-TX1,transplant_center,Banner-University Medical Center Phoenix,Arizona,Region  5,165,0,165,16,,,missing,2,"Banner-University Medical Center Phoenix, Arizona (transplant center hospital)",
ILPL-TX1,transplant_center,Rush University Medical Center,Illinois,Region  7,164,0,164,22,,,missing,2,"Rush University Medical Center, Illinois (transplant center hospital)",
MANM-TX1,transplant_center,Tufts Medical Center,Massachusetts,Region  1,160,0,160,19,,,missing,2,"Tufts Medical Center, Massachusetts (transplant center hospital)",
PAAG-TX1,transplant_center,Allegheny General Hospital,Pennsylvania,Region  2,155,0,155,28,,,missing,2,"Allegheny General Hospital, Pennsylvania (transplant center hospital)",
MAUM-TX1,transplant_center,UMass Memorial Medical Center,Massachusetts,Region  1,154,0,154,18,,,missing,2,"UMass Memorial Medical Center, Massachusetts (transplant center hospital)",
MALC-TX1,transplant_center,Lahey Clinic Medical Center,Massachusetts,Region  1,152,0,152,16,,,missing,2,"Lahey Clinic Medical Center, Massachusetts (transplant center hospital)",
AZSJ-TX1,transplant_center,St. Joseph's Hospital and Medical Center,Arizona,Region  5,144,0,144,27,,,missing,2,"St. Joseph's Hospital and Medical Center, Arizona (transplant center hospital)",
CTYN-TX1,transplant_center,Yale New Haven Hospital,Connecticut,Region  1,137,0,137,22,,,missing,2,"Yale New Haven Hospital, Connecticut (transplant center hospital)",
MAPB-TX1,transplant_center,Brigham and Women's Hospital,Massachusetts,Region  1,134,0,134,35,,,missing,2,"Brigham and Women's Hospital, Massachusetts (transplant center hospital)",
PAAE-TX1,transplant_center,Albert Einstein Medical Center,Pennsylvania,Region  2,133,0,133,26,,,missing,2,"Albert Einstein Medical Center, Pennsylvania (transplant center hospital)",
PALV-TX1,transplant_center,Lehigh Valley Hospital,Pennsylvania,Region  2,133,0,133,28,,,missing,2,"Lehigh Valley Hospital, Pennsylvania (transplant center hospital)",
TXTC-TX1,transplant_center,Texas Children's Hospital,Texas,Region  4,133,0,133,29,,,missing,2,"Texas Children's Hospital, Texas (transplant center hospital)",
CTHH-TX1,transplant_center,Hartford Hospital,Connecticut,Region  1,130,0,130,24,,,missing,2,"Hartford Hospital, Connecticut (transplant center hospital)",
NJLL-TX1,transplant_center,Virtua Our Lady of Lourdes Hospital,New Jersey,Region  2,130,0,130,18,,,missing,2,"Virtua Our Lady of Lourdes Hospital, New Jersey (transplant center hospital)",
SCPG-TX1,transplant_center,Prisma Health Greenville Memorial Hospital,South Carolina,Region  11,129,0,129,19,,,missing,2,"Prisma Health Greenville Memorial Hospital, South Carolina (transplant center hospital)",
KYJH-TX1,transplant_center,Jewish Hospital,Kentucky,Region  11,127,0,127,27,,,missing,2,"Jewish Hospital, Kentucky (transplant center hospital)",
FLLM-TX1,transplant_center,Largo Medical Center,Florida,Region  3,121,0,121,21,,,missing,2,"Largo Medical Center, Florida (transplant center hospital)",
MOLH-TX1,transplant_center,St Luke's Hospital of Kansas City,Missouri,Region  8,118,0,118,21,,,missing,2,"St Luke's Hospital of Kansas City, Missouri (transplant center hospital)",
