id,type,name,state,lat,lon,coordinate_quality,notes
TXTC-TX1,transplant_center,Texas Children's Hospital,Texas,,,missing,
CTHH-TX1,transplant_center,Hartford Hospital,Connecticut,,,missing,
NJLL-TX1,transplant_center,Virtua Our Lady of Lourdes Hospital,New Jersey,,,missing,
SCPG-TX1,transplant_center,Prisma Health Greenville Memorial Hospital,South Carolina,,,missing,
KYJH-TX1,transplant_center,Jewish Hospital,Kentucky,,,missing,
FLLM-TX1,transplant_center,Largo Medical Center,Florida,,,missing,
MOLH-TX1,transplant_center,St Luke's Hospital of Kansas City,Missouri,,,missing,
SCLA-TX1,transplant_center,MUSC Lancaster,South Carolina,,,missing,
TXAS-TX1,transplant_center,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,,,missing,
HIQM-TX1,transplant_center,The Queen's Medical Center,Hawaii,21.0943,-157.4983,state_centroid,
MIBH-TX1,transplant_center,Corewell Health William Beaumont University Hospital,Michigan,,,missing,
NYEC-TX1,transplant_center,Erie County Medical Center,New York,,,missing,
ILVA-TX1,transplant_center,Edward Hines Jr. Veterans Administration Medical Center,Illinois,,,missing,
COPM-TX1,transplant_center,AdventHealth Porter,Colorado,,,missing,
IAIV-TX1,transplant_center,University of Iowa Hospitals and Clinics Transplant Programs,Iowa,,,missing,
MISH-TX1,transplant_center,Corewell Health Grand Rapids Hospitals,Michigan,,,missing,
NJRW-TX1,transplant_center,Robert Wood Johnson University Hospital,New Jersey,,,missing,
PRSJ-TX1,transplant_center,Auxilio Mutuo Hospital,Puerto Rico,,,missing,
MOSL-TX1,transplant_center,SSM Health Saint Louis University Hospital,Missouri,,,missing,
VANG-TX1,transplant_center,Sentara Norfolk General Hospital,Virginia,,,missing,
TXDR-TX1,transplant_center,Doctor's Hospital at Renaissance,Texas,,,missing,
WASH-TX1,transplant_center,Providence Sacred Heart Medical Center & Children's Hospital,Washington,,,missing,
CASH-TX1,transplant_center,Sharp Memorial Hospital,California,,,missing,
LAWK-TX1,transplant_center,Willis-Knighton Medical Center,Louisiana,,,missing,
INSV-TX1,transplant_center,Ascension St. Vincent Hospital,Indiana,,,missing,
NCEC-TX1,transplant_center,ECU Health Medical Center,North Carolina,,,missing,
TXPL-TX1,transplant_center,Medical City Fort Worth,Texas,,,missing,
TXSW-TX1,transplant_center,Scott and White Memorial Hospital,Texas,,,missing,
COSL-TX1,transplant_center,Presbyterian/St Luke's Medical Center,Colorado,,,missing,
WISL-TX1,transplant_center,Aurora St. Luke's Medical Center,Wisconsin,,,missing,
WVCA-TX1,transplant_center,Charleston Area Medical Center,West Virginia,,,missing,
WAVM-TX1,transplant_center,Virginia Mason Medical Center,Washington,,,missing,
PAGM-TX1,transplant_center,Geisinger Medical Center,Pennsylvania,,,missing,
ORGS-TX1,transplant_center,Legacy Good Samaritan Hospital and Medical Center,Oregon,,,missing,
CASJ-TX1,transplant_center,Saint Joseph Hospital,California,,,missing,
OKMD-TX1,transplant_center,OU Medical Center,Oklahoma,,,missing,
MISM-TX1,transplant_center,Mercy Health Saint Mary's,Michigan,,,missing,
MORH-TX1,transplant_center,Research Medical Center,Missouri,,,missing,
TXJS-TX1,transplant_center,University of Texas Medical Branch at Galveston,Texas,,,missing,
DCGW-TX1,transplant_center,George Washington University Hospital,District of Columbia,,,missing,
ORVA-TX1,transplant_center,VA Portland Health Care System,Oregon,,,missing,
CAPC-TX1,transplant_center,Lucile Salter Packard Children's Hospital at Stanford,California,,,missing,
GAMC-TX1,transplant_center,"Wellstar MCG Health, affiliated with Medical College of Georgia",Georgia,,,missing,
OHCM-TX1,transplant_center,Children's Hospital Medical Center,Ohio,,,missing,
TXCM-TX1,transplant_center,Children's Medical Center of Dallas,Texas,,,missing,
ILCH-TX1,transplant_center,Advocate Christ Medical Center,Illinois,,,missing,
NYUM-TX1,transplant_center,State University of New York Upstate Medical University,New York,,,missing,
ILCM-TX1,transplant_center,Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,,,missing,
TNUK-TX1,transplant_center,University of Tennessee Medical Center at Knoxville,Tennessee,,,missing,
OHTC-TX1,transplant_center,The Christ Hospital,Ohio,,,missing,
CACL-TX1,transplant_center,Children's Hospital Los Angeles,California,,,missing,
TXHH-TX1,transplant_center,"Memorial Hermann Hospital, University of Texas at Houston",Texas,,,missing,
PACH-TX1,transplant_center,UPMC Children's Hospital of Pittsburgh,Pennsylvania,,,missing,
PAVA-TX1,transplant_center,VA Pittsburgh Healthcare System,Pennsylvania,,,missing,
AZUA-TX1,transplant_center,Banner University Medical Center-Tucson,Arizona,,,missing,
CALA-TX1,transplant_center,Harbor UCLA Medical Center,California,,,missing,
PADV-OP1,source_dsa,Gift of Life Donor Program,Pennsylvania,39.9526,-75.1652,city_approx,city_approx:Philadelphia;high
CAOP-OP1,source_dsa,OneLegacy,California,34.1336,-117.9073,city_approx,city_approx:Los Angeles area (OneLegacy);high
