,,,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
,,Intracranial Hemorrhage / Stroke,,83,77,60,19,2,19,0
,,Natural Causes (Since 10/25/99),,1,1,1,0,0,0,0
,,None of the above,,9,8,9,1,1,2,0
,,Seizure,,1,1,1,1,0,1,0
,None of the above,All Mechanisms,,3,3,1,2,1,1,0
,,Blunt Injury,,2,2,0,1,0,0,0
,,Gunshot Wound,,1,1,1,1,1,1,0
,Suicide,All Mechanisms,,587,581,528,383,142,313,13
,,Blunt Injury,,30,30,27,15,12,14,2
,,Gunshot Wound,,557,551,501,368,130,299,11
CNS TUMOR,All Circumstances,All Mechanisms,,48,46,43,24,7,21,1
,,Intracranial Hemorrhage / Stroke,,15,14,13,8,1,8,0
,,Natural Causes (Since 10/25/99),,21,20,18,12,4,9,1
,,None of the above,,12,12,12,4,2,4,0
,Natural Causes (Since 10/25/99),All Mechanisms,,40,38,35,20,5,17,1
,,Intracranial Hemorrhage / Stroke,,14,13,12,8,1,7,0
,,Natural Causes (Since 10/25/99),,21,20,18,12,4,9,1
,,None of the above,,5,5,5,0,0,1,0
,None of the above,All Mechanisms,,8,8,8,4,2,4,0
,,Intracranial Hemorrhage / Stroke,,1,1,1,0,0,1,0
,,None of the above,,7,7,7,4,2,3,0
OTHER SPECIFY,All Circumstances,All Mechanisms,,972,915,544,146,33,98,2
,,Asphyxiation,,10,10,6,3,0,2,0
,,
,,Blunt Injury,,68,67,50,18,8,12,0
,,Cardiovascular,,107,97,68,10,2,9,0
,,Drug Intoxication,,38,35,29,21,3,19,0
,,Electrical,,1,1,1,0,0,0,0
,,Gunshot Wound,,29,27,26,20,7,12,1
,,Intracranial Hemorrhage / Stroke,,39,37,29,4,2,8,0
,,Natural Causes (Since 10/25/99),,505,476,241,43,5,22,1
,,None of the above,,154,146,82,21,4,12,0
,,Seizure,,17,15,10,3,1,2,0
,,Stab,,4,4,2,3,1,0,0
,Child Abuse,All Mechanisms,,1,1,0,1,0,0,0
,,Blunt Injury,,1,1,0,1,0,0,0
,Homicide,All Mechanisms,,9,9,7,5,1,0,0
,,Blunt Injury,,1,1,1,0,0,0,0
,,Gunshot Wound,,4,4,4,2,0,0,0
,,Stab,,4,4,2,3,1,0,0
,MVA,All Mechanisms,,47,46,34,11,5,11,0
,,Blunt Injury,,43,42,32,11,5,11,0
,,Natural Causes (Since 10/25/99),,1,1,1,0,0,0,0
,,None of the above,,3,3,1,0,0,0,0
,Natural Causes (Since 10/25/99),All Mechanisms,,672,630,349,64,8,40,1
,,Asphyxiation,,2,2,1,0,0,0,0
,,Cardiovascular,,90,84,55,8,1,9,0
,,Drug Intoxication,,2,2,1,2,0,1,0
,,Gunshot Wound,,1,1,1,1,0,1,0
,,Intracranial Hemorrhage / Stroke,,30,29,22,3,2,5,0
,,Natural Causes (Since 10/25/99),,496,468,237,43,4,21,1
