,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,Arrhythmogenic Right Ventricular Dysplasia/Cardio,,34,0,0,0,0,34,0,0,0,0,0,0,0
,Pulmonary Vascular Disease,,3,0,0,0,0,0,3,2,0,0,0,0,0
,Pulmonary Veno-Occlusive Disease,,2,0,0,0,0,0,2,1,0,0,0,0,0
,Radiation Nephritis,,8,8,0,0,0,0,0,0,0,0,0,0,0
,Rapid Progressive Glomerulonephritis (Rpgn),,126,126,0,0,0,0,0,0,0,0,0,0,0
,Renal Artery Thrombosis,,13,13,0,0,0,0,0,0,0,0,0,0,0
,Renal Cell Carcinoma,,216,216,0,0,0,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Amyloidosis,,31,0,0,0,0,31,0,0,0,0,0,0,0
,Benign Tumor: Hepatic Adenoma,,11,0,11,0,0,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Idiopathic,,30,0,0,0,0,30,0,0,0,0,0,0,0
,Restrictive Myopathy: Other Specify,,19,0,0,0,0,19,0,0,0,0,0,0,0
,Restrictive Myopathy: Sarcoidosis,,50,0,0,0,0,50,0,0,0,0,0,0,0
,Restrictive Myopathy: Sec To Radiat/Chem,,6,0,0,0,0,6,0,0,0,0,0,0,0
,Retransplant/Graft Failure,,"5,819","5,803",0,5,38,0,0,0,0,0,0,0,0
,Rheumatoid Arthritis,,12,12,0,0,0,0,0,0,0,0,0,0,0
,Rheumatoid Disease,,19,0,0,0,0,0,19,2,0,0,0,0,0
,Sarcoidosis,,35,0,0,0,0,0,35,1,0,0,0,0,0
,Sarcoidosis,,61,61,0,0,0,0,0,0,0,0,0,0,0
,Benign Tumor: Other Specify,,4,0,4,0,0,0,0,0,0,0,0,0,0
,Scleroderma,,30,30,0,0,0,0,0,0,0,0,0,0,0
,Scleroderma -. Pulmonary Hypertension,,6,0,0,0,0,0,6,0,0,0,0,0,0
,Scleroderma -. Restrictive,,24,0,0,0,0,0,24,0,0,0,0,0,0
,Sec Biliary Cirrhosis: Caroli'S Disease,,12,0,12,0,0,0,0,0,0,0,0,0,0
,Sec Biliary Cirrhosis: Choledochol Cyst,,7,0,7,0,0,0,0,0,0,0,0,0,0
,Sec Biliary Cirrhosis: Other Specify,,20,0,20,0,0,0,0,0,0,0,0,0,0
,Secondary Hepatic Malignancy Other Specify,,14,0,14,0,0,0,0,0,0,0,0,0,0
,Benign Tumor: Polycystic Liver Disease,,62,0,62,0,0,0,0,0,0,0,0,0,0
,Secondary Pulmonary Hypertension,,4,0,0,0,0,0,4,0,0,0,0,0,0
,Sgs: Gastroschisis,,8,0,0,0,0,0,0,0,8,0,0,0,0
,Sgs: Intestinal Atresia,,6,0,0,0,0,0,0,0,6,0,0,0,0
,Sgs: Intestinal Volvulus Secondary To Adhesions,,1,0,0,0,0,0,0,0,1,0,0,0,0
,Sgs: Intestinal Volvulus Secondary To Malrotation,,7,0,0,0,0,0,0,0,7,0,0,0,0
,Sgs: Mass Resect Sec To Inf Bowel-Crohns,,4,0,0,0,0,0,0,0,4,0,0,0,0
,Sgs: Mass Resect Sec To Mes Venous Throm,,2,0,0,0,0,0,0,0,2,0,0,0,0
,Sgs: Mass Resect Sec To Tumor,,2,0,0,0,0,0,0,0,2,0,0,0,0
,Sgs: Massive Resection Secondary To Mesenteric Ar,,5,0,0,0,0,0,0,0,5,0,0,0,0
,Bile Duct Cancer,,1,0,0,1,0,0,0,0,0,0,0,0,0
,Sgs: Necrotizing Enterocolitis,,17,0,0,0,0,0,0,0,17,0,0,0,0
,Sgs: Other Specify,,28,0,0,0,0,0,0,0,28,0,0,0,0
,Sgs: Unspecified,,3,0,0,0,0,0,0,0,3,0,0,0,0
,Sickle Cell Anemia,,73,73,0,0,0,0,0,0,0,0,0,0,0
,
,Silicosis,,5,0,0,0,0,0,5,0,0,0,0,0,0
,Sjogren'S Syndrome,,9,0,0,0,0,0,9,0,0,0,0,0,0
,Surfactant Protein C. Deficiency,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Systemic Lupus Erythematosus,,"2,010","2,010",0,0,1,0,0,0,0,0,0,0,0
,"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",,10,0,10,0,0,0,0,0,0,0,0,0,0
,Thin Basement Membrane Disease,,72,72,0,0,0,0,0,0,0,0,0,0,0
,Tpn/Hyperalimentation Ind Liver Disease,,32,0,32,0,0,0,0,0,0,0,0,0,0
,Trauma Other Specify,,3,0,3,0,0,0,0,0,0,0,0,0,0
,Urolithiasis,,14,14,0,0,0,0,0,0,0,0,0,0,0
,Valvular Heart Disease,,31,0,0,0,0,31,0,0,0,0,0,0,0
,Wegener'S Granuloma -. Restrictive,,2,0,0,0,0,0,2,0,0,0,0,0,0
,Acute Tubular Necrosis,,380,379,0,0,1,0,0,0,0,0,0,0,0
,CYSTIC FIBROSIS,,16,0,16,0,0,0,0,0,0,0,0,0,0
,"Biliary Atresia Or Hypoplasia: Other, Specify",,36,0,36,0,0,0,0,0,0,0,0,0,0
,Wegeners Granulomatosis,,201,201,0,0,0,0,0,0,0,0,0,0,0
,Wilms' Tumor,,24,24,0,0,0,0,0,0,0,0,0,0,0
,"Other, Specify",,"10,166","9,687",369,101,32,35,0,0,40,0,0,0,0
,Not Reported,,"4,700","3,665",988,45,131,0,0,0,13,1,2,2,4
,Biliary Atresia: Extrahepatic,,105,0,105,0,0,0,0,0,0,0,0,0,0
,DILATED MYOPATHY: VIRAL (NOT COVID-19),,16,0,0,0,0,16,0,0,0,0,0,0,0
,COVID-19: DILATED MYOPATHY: HISTORY OF MYOCARDITIS,,1,0,0,0,0,1,0,0,0,0,0,0,0
,COVID-19: PULMONARY FIBROSIS,,14,0,0,0,0,0,14,0,0,0,0,0,0
,ACUTE ALCOHOL-ASSOCIATED HEPATITIS WITH OR WITHOUT CIRRHOSIS,,240,0,240,0,0,0,0,0,0,0,0,0,0
,ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS,,"2,112",0,"2,112",0,0,0,0,0,0,0,0,0,0
,COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE),,45,0,0,0,0,0,45,0,0,0,0,0,0
,Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,16,0,16,0,0,0,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,"1,114",0,"1,114",0,0,0,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION AND ALCOHOL-RELATED/ASSOCIATED LIVER DISEASE (METALD),,274,0,274,0,0,0,0,0,0,0,0,0,0
,Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,1,0,0,0,0,0,0,0,0,0,0
,Bronchiectasis,,13,0,0,0,0,0,13,1,0,0,0,0,0
,Bronchopulmonary Dysplasia,,3,0,0,0,0,0,3,0,0,0,0,0,0
,Budd-Chiari Syndrome,,47,0,47,0,0,0,0,0,0,0,0,0,0
,Calcineurin Inhibitor Nephrotoxicity,,794,793,0,0,3,0,0,0,0,0,0,0,0
,Ahn: Drug Other Specify,,4,0,4,0,0,0,0,0,0,0,0,0,0
,Cancer Chemotherapy Induced Nephritis,,93,93,0,0,0,0,0,0,0,0,0,0,0
,Choles Liver Disease: Other Specify,,13,0,13,0,0,0,0,0,0,0,0,0,0
,Cholesterol Embolization,,1,1,0,0,0,0,0,0,0,0,0,0,0
,Chronic Glomerulonephritis Unspecified,,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0
,Chronic Glomerulosclerosis Unspecified,,183,183,0,0,0,0,0,0,0,0,0,0,0
,Chronic Nephrosclerosis-Unspecified,,89,89,0,0,1,0,0,0,0,0,0,0,0
,Chronic Pyelonephritis/Reflux Nephropath,,343,343,0,0,0,0,0,0,0,0,0,0,0
,
,Cirrhosis: Autoimmune,,243,0,243,0,0,0,0,0,0,0,0,0,0
,Ahn: Etiology Unknown,,7,0,7,0,0,0,0,0,0,0,0,0,0
