,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
Illinois,All Donation Service Areas,,"4,499","3,907",211,80,162,210,42,0,12,0,0,0,0
,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,,"4,499","3,907",211,80,162,210,42,0,12,0,0,0,0
Indiana,All Donation Service Areas,,"1,467","1,263",111,10,42,92,6,0,15,0,0,0,0
,INOP-OP1 Indiana Donor Network,,"1,467","1,263",111,10,42,92,6,0,15,0,0,0,0
Iowa,All Donation Service Areas,,606,546,18,3,24,18,6,0,0,0,0,0,0
,IAOP-OP1 Iowa Donor Network,,606,546,18,3,24,18,6,0,0,0,0,0,0
Kansas,All Donation Service Areas,,528,389,121,1,26,20,0,0,0,0,0,0,0
,MWOB-OP1 Midwest Transplant Network,,528,389,121,1,26,20,0,0,0,0,0,0,0
Kentucky,All Donation Service Areas,,"1,004",842,97,0,18,43,16,0,0,0,0,0,0
,KYDA-OP1 Network for Hope,,"1,004",842,97,0,18,43,16,0,0,0,0,0,0
Louisiana,All Donation Service Areas,,"2,032","1,772",166,4,68,46,4,0,0,0,0,0,0
,LAOP-OP1 Louisiana Organ Procurement Agency,,"2,032","1,772",166,4,68,46,4,0,0,0,0,0,0
Maine,All Donation Service Areas,,221,221,0,0,0,0,0,0,0,0,0,0,0
,MAOB-OP1 New England Organ Bank,,221,221,0,0,0,0,0,0,0,0,0,0,0
Maryland,All Donation Service Areas,,"2,072","1,673",362,6,38,31,34,0,0,0,0,1,0
,MDPC-OP1 Infinite Legacy,,"2,072","1,673",362,6,38,31,34,0,0,0,0,1,0
Massachusetts,All Donation Service Areas,,"3,997","3,518",309,28,40,140,36,0,1,0,0,0,0
,MAOB-OP1 New England Organ Bank,,"3,997","3,518",309,28,40,140,36,0,1,0,0,0,0
Michigan,All Donation Service Areas,,"2,607","2,312",101,24,35,119,82,1,2,0,0,0,0
,MIOP-OP1 Gift of Life Michigan,,"2,607","2,312",101,24,35,119,82,1,2,0,0,0,0
Minnesota,All Donation Service Areas,,"2,314","1,937",181,75,186,120,35,1,0,0,0,0,0
,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,,"2,314","1,937",181,75,186,120,35,1,0,0,0,0,0
Mississippi,All Donation Service Areas,,551,497,41,0,11,11,0,0,0,0,0,0,0
,MSOP-OP1 Mississippi Organ Recovery Agency,,551,497,41,0,11,11,0,0,0,0,0,0,0
Missouri,All Donation Service Areas,,"2,184","1,929",135,0,52,72,19,0,0,0,0,0,0
,MOMA-OP1 Mid-America Transplant Services,,"1,465","1,268",103,0,45,48,19,0,0,0,0,0,0
,MWOB-OP1 Midwest Transplant Network,,748,689,32,0,7,24,0,0,0,0,0,0,0
Nebraska,All Donation Service Areas,,460,358,54,8,2,51,3,0,9,0,0,0,0
,NEOR-OP1 Live On Nebraska,,460,358,54,8,2,51,3,0,9,0,0,0,0
Nevada,All Donation Service Areas,,415,414,0,0,21,0,0,0,0,0,0,0,0
,NVLV-OP1 Nevada Donor Network,,415,414,0,0,21,0,0,0,0,0,0,0,0
New Hampshire,All Donation Service Areas,,257,257,0,0,0,0,0,0,0,0,0,0,0
,MAOB-OP1 New England Organ Bank,,257,257,0,0,0,0,0,0,0,0,0,0,0
New Jersey,All Donation Service Areas,,"2,509","2,330",88,16,53,40,4,0,0,0,0,0,0
,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,,"2,509","2,330",88,16,53,40,4,0,0,0,0,0,0
New Mexico,All Donation Service Areas,,446,442,0,0,6,0,0,0,0,0,0,0,0
,NMOP-OP1 New Mexico Donor Services,,446,442,0,0,6,0,0,0,0,0,0,0,0
New York,All Donation Service Areas,,"8,040","7,017",544,129,129,347,101,3,12,0,1,0,0
,NYAP-OP1 Center for Donation and Transplant,,217,215,0,2,1,0,0,0,0,0,0,0,0
,NYFL-IO1 Finger Lakes Donor Recovery Network,,912,856,28,6,19,29,0,0,0,0,0,0,0
,
,NYRT-OP1 LiveOnNY,,"6,655","5,698",516,120,101,318,101,3,12,0,1,0,0
,NYWN-OP1 Upstate New York Transplant Services Inc,,268,260,0,1,8,0,0,0,0,0,0,0,0
North Carolina,All Donation Service Areas,,"3,910","3,607",100,75,113,164,14,3,3,1,0,0,0
,NCCM-IO1 LifeShare Carolinas,,"1,681","1,576",34,70,78,56,0,0,0,0,0,0,0
,NCNC-OP1 HonorBridge,,"2,408","2,204",66,5,40,108,14,3,3,1,0,0,0
North Dakota,All Donation Service Areas,,134,134,0,0,0,0,0,0,0,0,0,0,0
,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,,134,134,0,0,0,0,0,0,0,0,0,0,0
Ohio,All Donation Service Areas,,"2,741","2,177",233,28,58,274,79,6,17,0,0,1,1
,KYDA-OP1 Network for Hope,,619,511,39,14,9,54,8,2,5,0,0,0,0
,OHLB-OP1 Lifebanc,,"1,211",925,98,12,38,166,54,4,12,0,0,1,1
,OHLC-OP1 Life Connection of Ohio,,103,100,0,2,2,0,0,0,0,0,0,0,0
,OHLP-OP1 Lifeline of Ohio,,887,718,97,0,9,54,17,0,0,0,0,0,0
Oklahoma,All Donation Service Areas,,788,655,84,0,16,34,13,0,0,0,0,0,0
,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,,788,655,84,0,16,34,13,0,0,0,0,0,0
Oregon,All Donation Service Areas,,"1,280","1,154",87,3,24,28,0,0,0,0,0,0,0
,ORUO-IO1 Cascade Life Alliance,,"1,280","1,154",87,3,24,28,0,0,0,0,0,0,0
