,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,INSV-TX1 Ascension St. Vincent Hospital,,406,355,0,0,0,53,0,0,0,0,0,0,0
,KSUK-TX1 University of Kansas Hospital,,528,389,121,1,26,20,0,0,0,0,0,0,0
,KYJH-TX1 Jewish Hospital,,316,284,5,0,11,12,5,0,0,0,0,0,0
,KYKC-TX1 Norton Children's Hospital,,13,4,0,0,0,9,0,0,0,0,0,0,0
,KYUK-TX1 University of Kentucky Medical Center,,698,575,92,0,8,22,11,0,0,0,0,0,0
,LACH-TX1 Children's Hospital,,19,16,3,0,0,0,0,0,0,0,0,0,0
,LAOF-TX1 Ochsner Foundation Hospital,,"1,044",866,129,2,26,37,4,0,0,0,0,0,0
,LATU-TX1 Tulane Medical Center,,643,610,11,0,16,9,0,0,0,0,0,0,0
,LAWK-TX1 Willis-Knighton Medical Center,,334,287,24,2,26,0,0,0,0,0,0,0,0
,MABI-TX1 Beth Israel Deaconess Medical Center,,396,335,38,19,24,7,0,0,0,0,0,0,0
,MABS-TX1 Baystate Medical Center,,134,134,0,0,0,0,0,0,0,0,0,0,0
,MABU-TX1 Boston Medical Center,,303,303,0,0,0,0,0,0,0,0,0,0,0
,MACH-TX1 Boston Children's Hospital,,73,33,12,1,0,28,2,0,1,0,0,0,0
,MALC-TX1 Lahey Clinic Medical Center,,438,385,56,0,0,0,0,0,0,0,0,0,0
,MAMG-TX1 Massachusetts General Hospital,,"1,379","1,233",123,3,5,16,19,0,0,0,0,0,0
,MANM-TX1 Tufts Medical Center,,358,287,13,0,0,71,0,0,0,0,0,0,0
,MAPB-TX1 Brigham and Women's Hospital,,467,422,0,5,11,18,15,0,0,0,0,0,0
,MAUM-TX1 UMass Memorial Medical Center,,513,447,69,0,0,0,0,0,0,0,0,0,0
,MDJH-TX1 Johns Hopkins Hospital,,"1,387","1,146",229,5,16,7,22,0,0,0,0,1,0
,MDUM-TX1 University of Maryland Medical System,,725,565,135,1,23,24,12,0,0,0,0,0,0
,MEMC-TX1 Maine Medical Center,,221,221,0,0,0,0,0,0,0,0,0,0,0
,MIBH-TX1 Corewell Health William Beaumont University Hospital,,431,408,28,0,0,0,0,0,0,0,0,0,0
,MICH-TX1 Children's Hospital of Michigan,,16,9,0,0,0,7,0,0,0,0,0,0,0
,MIDV-TX1 Corewell Health Helen DeVos Children's Hospital,,3,3,0,0,0,0,0,0,0,0,0,0,0
,MIHF-TX1 Henry Ford Hospital,,723,597,47,19,20,28,47,0,2,0,0,0,0
,MIHM-TX1 Hurley Medical Center,,6,6,0,0,0,0,0,0,0,0,0,0,0
,MIKZ-TX1 Borgess Medical Center,,15,15,0,0,0,0,0,0,0,0,0,0,0
,MISH-TX1 Corewell Health Grand Rapids Hospitals,,52,0,0,0,0,27,26,1,0,0,0,0,0
,MISJ-TX1 Ascension St. John Hospital,,151,151,0,0,0,0,0,0,0,0,0,0,0
,MISM-TX1 Mercy Health Saint Mary's,,289,289,0,0,0,0,0,0,0,0,0,0,0
,MIUM-TX1 University of Michigan Medical Center,,943,855,26,5,15,57,10,0,0,0,0,0,0
,MNAN-TX1 Abbott Northwestern Hospital,,55,49,0,0,0,6,0,0,0,0,0,0,0
,MNCM-TX1 Children's Minnesota,,6,0,0,0,0,6,0,0,0,0,0,0,0
,MNHC-TX1 Hennepin County Medical Center,,178,178,0,0,0,0,0,0,0,0,0,0,0
,MNMC-TX1 Mayo Clinic Hospital Minnesota,,960,781,109,16,35,44,24,0,0,0,0,0,0
,"MNUM-TX1 University of Minnesota Medical Center, Fairview",,"1,144",955,75,60,152,64,11,1,0,0,0,0,0
,MOBH-TX1 Barnes-Jewish Hospital,,"1,065",945,41,0,38,32,17,0,0,0,0,0,0
,MOCG-TX1 Cardinal Glennon Children's Hospital,,9,1,2,0,0,6,0,0,0,0,0,0,0
,MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,32,18,3,0,0,10,2,0,0,0,0,0,0
,MOCM-TX1 Children's Mercy Hospital,,76,61,7,0,0,10,0,0,0,0,0,0,0
,MODU-TX1 DePaul Health Center,,15,15,0,0,0,0,0,0,0,0,0,0,0
,
,MOJM-TX1 St Johns Mercy Medical Center,,5,5,0,0,0,0,0,0,0,0,0,0,0
,MOLH-TX1 St Luke's Hospital of Kansas City,,261,223,25,0,0,14,0,0,0,0,0,0,0
,MORH-TX1 Research Medical Center,,330,324,0,0,7,0,0,0,0,0,0,0,0
,MOSL-TX1 SSM Health Saint Louis University Hospital,,339,284,57,0,7,0,0,0,0,0,0,0,0
,MOUM-TX1 University of Missouri Hospital and Clinics,,88,88,0,0,0,0,0,0,0,0,0,0,0
,MSUM-TX1 University of Mississippi Medical Center,,551,497,41,0,11,11,0,0,0,0,0,0,0
,NCBG-TX1 Wake Forest Baptist Medical Center,,849,827,0,70,58,11,0,0,0,0,0,0,0
,NCCM-TX1 Carolinas Medical Center,,927,843,34,0,21,45,0,0,0,0,0,0,0
,NCDU-TX1 Duke University Hospital,,"1,076",945,32,3,14,89,10,1,3,1,0,0,0
,NCEC-TX1 ECU Health Medical Center,,569,552,0,1,20,0,0,0,0,0,0,0,0
,NCMH-TX1 University of North Carolina Hospitals,,886,828,34,1,8,19,4,2,0,0,0,0,0
,NDMC-TX1 Sanford Bismarck Medical Center,,49,49,0,0,0,0,0,0,0,0,0,0,0
,NDSL-TX1 Sanford Medical Center Fargo,,85,85,0,0,0,0,0,0,0,0,0,0,0
,NECH-TX1 Children’s Nebraska,,3,0,0,0,0,3,0,0,0,0,0,0,0
,NEUN-TX1 The Nebraska Medical Center,,457,358,54,8,2,48,3,0,9,0,0,0,0
,NHDH-TX1 Mary Hitchcock Memorial Hospital,,257,257,0,0,0,0,0,0,0,0,0,0,0
,NJBI-TX1 Newark Beth Israel Medical Center,,28,2,0,0,0,24,4,0,0,0,0,0,0
