diagnosis,organ,count,organ_color
Heart Re-Tx/Gf: Chronic Rejection,Heart,13,#9c7a7a
Heart Re-Tx/Gf: Coronary Artery Disease,Heart,91,#9c7a7a
Heart Re-Tx/Gf: Non-Specific,Heart,6,#9c7a7a
Heart Re-Tx/Gf: Other Specify,Heart,11,#9c7a7a
Heart Re-Tx/Gf: Primary Failure,Heart,2,#9c7a7a
Heart Re-Tx/Gf: Restrictive/Constrictive,Heart,8,#9c7a7a
Hypertrophic Cardiomyopathy,Heart,150,#9c7a7a
Muscular Dystrophy: Other Specify,Heart,6,#9c7a7a
Arrhythmogenic Right Ventricular Dysplasia/Cardio,Heart,34,#9c7a7a
Restrictive Myopathy: Amyloidosis,Heart,33,#9c7a7a
Restrictive Myopathy: Idiopathic,Heart,30,#9c7a7a
Restrictive Myopathy: Other Specify,Heart,18,#9c7a7a
Restrictive Myopathy: Sarcoidosis,Heart,50,#9c7a7a
Restrictive Myopathy: Sec To Radiat/Chem,Heart,7,#9c7a7a
Valvular Heart Disease,Heart,28,#9c7a7a
"Other, Specify",Heart,39,#9c7a7a
DILATED MYOPATHY: VIRAL (NOT COVID-19),Heart,17,#9c7a7a
COVID-19: DILATED MYOPATHY: HISTORY OF MYOCARDITIS,Heart,1,#9c7a7a
Congenital Heart Defect -. Prior Surgery Unknown,Heart,2,#9c7a7a
Congenital Heart Defect -. With Surgery,Heart,528,#9c7a7a
Congenital Heart Defect -. Without Surgery,Heart,40,#9c7a7a
Coronary Artery Disease,Heart,74,#9c7a7a
Dilated Myopathy: Adriamycin,Heart,21,#9c7a7a
Dilated Myopathy: Alcoholic,Heart,15,#9c7a7a
Dilated Myopathy: Familial,Heart,151,#9c7a7a
Dilated Myopathy: Idiopathic,Heart,1278,#9c7a7a
Dilated Myopathy: Ischemic,Heart,906,#9c7a7a
Dilated Myopathy: Myocarditis,Heart,29,#9c7a7a
Dilated Myopathy: Other Specify,Heart,477,#9c7a7a
Abca3 Transporter Mutation,Lung,1,#c2a878
Eisenmenger'S Syn: Atrial Septal Defect,Lung,1,#c2a878
Eisenmenger'S Syn: Multi Congenital Anomalies,Lung,1,#c2a878
Granulomatous Lung Disease,Lung,1,#c2a878
Hermansky Pudlak Syndrome,Lung,1,#c2a878
Alpha -. 1. -. Antitrypsin Deficiency,Lung,15,#c2a878
Hypersensitivity Pneumonitis,Lung,56,#c2a878
Iip: Boop/Cop,Lung,2,#c2a878
Iip: Idiopathic Pulmonary Fibrosis (Ipf),Lung,248,#c2a878
Iip: Nonspecific Interstitial Pneumonia,Lung,39,#c2a878
Lung Re-Tx/Gf: Non-Specific,Lung,1,#c2a878
