date,course_name,completed_holes,component,shots,sg_sum,sg_per_shot,sg_per18,season_median_sg_per_shot,vs_season_median_per_shot
2025-10-17,Quail Meadows Golf Club,9.0000,Tee / layup,8,-5.6100,-0.7013,-11.2200,-0.7100,0.0088
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Approach,18,-9.7600,-0.5422,-13.5138,-0.5411,-0.0011
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Driving,2,-1.3500,-0.6750,-1.8692,-0.5650,-0.1100
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Putting,30,-11.9700,-0.3990,-16.5738,-0.3113,-0.0877
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Recovery,5,-2.7400,-0.5480,-3.7938,-0.3433,-0.2047
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Sand,1,-0.3600,-0.3600,-0.4985,-0.4150,0.0550
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Short game,14,-4.2800,-0.3057,-5.9262,-0.3900,0.0843
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,13.0000,Tee / layup,11,-8.5300,-0.7755,-11.8123,-0.7100,-0.0655
2025-11-05,Newman Golf Course,9.0000,Approach,10,-5.7000,-0.5700,-11.4000,-0.5411,-0.0289
2025-11-05,Newman Golf Course,9.0000,Putting,18,-6.8700,-0.3817,-13.7400,-0.3113,-0.0704
2025-11-05,Newman Golf Course,9.0000,Recovery,4,-1.4700,-0.3675,-2.9400,-0.3433,-0.0242
2025-11-05,Newman Golf Course,9.0000,Short game,13,-4.5900,-0.3531,-9.1800,-0.3900,0.0369
2025-11-05,Newman Golf Course,9.0000,Tee / layup,8,-5.8200,-0.7275,-11.6400,-0.7100,-0.0175
2026-02-13,Howard D. Kellogg Golf Course - Executive,9.0000,Approach,10,-5.1500,-0.5150,-10.3000,-0.5411,0.0261
2026-02-13,Howard D. Kellogg Golf Course - Executive,9.0000,Putting,22,-8.4000,-0.3818,-16.8000,-0.3113,-0.0706
2026-02-13,Howard D. Kellogg Golf Course - Executive,9.0000,Recovery,3,-1.0200,-0.3400,-2.0400,-0.3433,0.0033
2026-02-13,Howard D. Kellogg Golf Course - Executive,9.0000,Short game,12,-4.8100,-0.4008,-9.6200,-0.3900,-0.0108
2026-02-13,Howard D. Kellogg Golf Course - Executive,9.0000,Tee / layup,9,-6.0100,-0.6678,-12.0200,-0.7100,0.0422
2026-02-15,Howard D. Kellogg Golf Course - Executive,9.0000,Approach,10,-5.4200,-0.5420,-10.8400,-0.5411,-0.0009
2026-02-15,Howard D. Kellogg Golf Course - Executive,9.0000,Putting,20,-7.5600,-0.3780,-15.1200,-0.3113,-0.0667
2026-02-15,Howard D. Kellogg Golf Course - Executive,9.0000,Recovery,2,-0.6900,-0.3450,-1.3800,-0.3433,-0.0017
2026-02-15,Howard D. Kellogg Golf Course - Executive,9.0000,Short game,13,-5.0900,-0.3915,-10.1800,-0.3900,-0.0015
2026-02-15,Howard D. Kellogg Golf Course - Executive,9.0000,Tee / layup,8,-5.1800,-0.6475,-10.3600,-0.7100,0.0625
2026-02-16,Newman Golf Course,9.0000,Approach,8,-4.1600,-0.5200,-8.3200,-0.5411,0.0211
2026-02-16,Newman Golf Course,9.0000,Putting,21,-8.4600,-0.4029,-16.9200,-0.3113,-0.0916
2026-02-16,Newman Golf Course,9.0000,Recovery,3,-0.7200,-0.2400,-1.4400,-0.3433,0.1033
2026-02-16,Newman Golf Course,9.0000,Short game,15,-5.7500,-0.3833,-11.5000,-0.3900,0.0067
2026-02-16,Newman Golf Course,9.0000,Tee / layup,9,-6.4300,-0.7144,-12.8600,-0.7100,-0.0044
2026-02-17,Newman Golf Course,9.0000,Approach,8,-4.2800,-0.5350,-8.5600,-0.5411,0.0061
2026-02-17,Newman Golf Course,9.0000,Putting,18,-6.5400,-0.3633,-13.0800,-0.3113,-0.0521
2026-02-17,Newman Golf Course,9.0000,Recovery,4,-0.9300,-0.2325,-1.8600,-0.3433,0.1108
2026-02-17,Newman Golf Course,9.0000,Short game,15,-5.8500,-0.3900,-11.7000,-0.3900,0.0000
2026-02-17,Newman Golf Course,9.0000,Tee / layup,9,-6.7500,-0.7500,-13.5000,-0.7100,-0.0400
2026-02-19,Newman Golf Course,9.0000,Approach,10,-5.8300,-0.5830,-11.6600,-0.5411,-0.0419
2026-02-19,Newman Golf Course,9.0000,Putting,20,-7.3400,-0.3670,-14.6800,-0.3113,-0.0557
2026-02-19,Newman Golf Course,9.0000,Recovery,6,-2.3000,-0.3833,-4.6000,-0.3433,-0.0400
2026-02-19,Newman Golf Course,9.0000,Short game,17,-6.9700,-0.4100,-13.9400,-0.3900,-0.0200
2026-02-19,Newman Golf Course,9.0000,Tee / layup,7,-5.2200,-0.7457,-10.4400,-0.7100,-0.0357
