donor_type,organ,to_date,year,transplants
All Donor Types,All Organs,1077213,1988,12623
All Donor Types,All Organs,1077213,1989,13140
All Donor Types,All Organs,1077213,1990,15001
All Donor Types,All Organs,1077213,1991,15756
All Donor Types,All Organs,1077213,1992,16134
All Donor Types,All Organs,1077213,1993,17631
All Donor Types,All Organs,1077213,1994,18299
All Donor Types,All Organs,1077213,1995,19396
All Donor Types,All Organs,1077213,1996,19765
All Donor Types,All Organs,1077213,1997,20316
All Donor Types,All Organs,1077213,1998,21526
All Donor Types,All Organs,1077213,1999,22030
All Donor Types,All Organs,1077213,2000,23274
All Donor Types,All Organs,1077213,2001,24243
All Donor Types,All Organs,1077213,2002,24916
All Donor Types,All Organs,1077213,2003,25475
All Donor Types,All Organs,1077213,2004,27042
All Donor Types,All Organs,1077213,2005,28119
All Donor Types,All Organs,1077213,2006,28941
All Donor Types,All Organs,1077213,2007,28366
All Donor Types,All Organs,1077213,2008,27967
All Donor Types,All Organs,1077213,2009,28463
All Donor Types,All Organs,1077213,2010,28668
All Donor Types,All Organs,1077213,2011,28553
All Donor Types,All Organs,1077213,2012,28059
All Donor Types,All Organs,1077213,2013,28956
All Donor Types,All Organs,1077213,2014,29540
All Donor Types,All Organs,1077213,2015,30974
All Donor Types,All Organs,1077213,2016,33610
All Donor Types,All Organs,1077213,2017,34770
All Donor Types,All Organs,1077213,2018,36530
All Donor Types,All Organs,1077213,2019,39719
All Donor Types,All Organs,1077213,2020,39036
All Donor Types,All Organs,1077213,2021,41356
All Donor Types,All Organs,1077213,2022,42889
All Donor Types,All Organs,1077213,2023,46634
All Donor Types,All Organs,1077213,2024,48150
All Donor Types,All Organs,1077213,2025,49065
All Donor Types,All Organs,1077213,2026,12281
All Donor Types,Heart,102252,1988,1676
All Donor Types,Heart,102252,1989,1705
All Donor Types,Heart,102252,1990,2107
All Donor Types,Heart,102252,1991,2127
All Donor Types,Heart,102252,1992,2170
All Donor Types,Heart,102252,1993,2297
All Donor Types,Heart,102252,1994,2340
All Donor Types,Heart,102252,1995,2363
All Donor Types,Heart,102252,1996,2343
All Donor Types,Heart,102252,1997,2293
All Donor Types,Heart,102252,1998,2348
All Donor Types,Heart,102252,1999,2188
All Donor Types,Heart,102252,2000,2199
All Donor Types,Heart,102252,2001,2202
All Donor Types,Heart,102252,2002,2155
All Donor Types,Heart,102252,2003,2057
All Donor Types,Heart,102252,2004,2015
All Donor Types,Heart,102252,2005,2125
All Donor Types,Heart,102252,2006,2193
All Donor Types,Heart,102252,2007,2209
All Donor Types,Heart,102252,2008,2163
All Donor Types,Heart,102252,2009,2212
All Donor Types,Heart,102252,2010,2332
All Donor Types,Heart,102252,2011,2322
All Donor Types,Heart,102252,2012,2378
All Donor Types,Heart,102252,2013,2531
All Donor Types,Heart,102252,2014,2655
All Donor Types,Heart,102252,2015,2804
All Donor Types,Heart,102252,2016,3191
All Donor Types,Heart,102252,2017,3244
All Donor Types,Heart,102252,2018,3408
All Donor Types,Heart,102252,2019,3552
All Donor Types,Heart,102252,2020,3658
All Donor Types,Heart,102252,2021,3818
All Donor Types,Heart,102252,2022,4111
All Donor Types,Heart,102252,2023,4545
All Donor Types,Heart,102252,2024,4572
All Donor Types,Heart,102252,2025,4587
All Donor Types,Heart,102252,2026,1057
All Donor Types,Heart / Lung,1641,1988,74
All Donor Types,Heart / Lung,1641,1989,67
All Donor Types,Heart / Lung,1641,1990,52
All Donor Types,Heart / Lung,1641,1991,51
All Donor Types,Heart / Lung,1641,1992,48
All Donor Types,Heart / Lung,1641,1993,60
All Donor Types,Heart / Lung,1641,1994,71
All Donor Types,Heart / Lung,1641,1995,69
All Donor Types,Heart / Lung,1641,1996,39
All Donor Types,Heart / Lung,1641,1997,62
All Donor Types,Heart / Lung,1641,1998,47
All Donor Types,Heart / Lung,1641,1999,51
All Donor Types,Heart / Lung,1641,2000,48
All Donor Types,Heart / Lung,1641,2001,27
All Donor Types,Heart / Lung,1641,2002,33
All Donor Types,Heart / Lung,1641,2003,29
All Donor Types,Heart / Lung,1641,2004,40
All Donor Types,Heart / Lung,1641,2005,35
All Donor Types,Heart / Lung,1641,2006,31
All Donor Types,Heart / Lung,1641,2007,31
All Donor Types,Heart / Lung,1641,2008,27
All Donor Types,Heart / Lung,1641,2009,29
All Donor Types,Heart / Lung,1641,2010,42
All Donor Types,Heart / Lung,1641,2011,27
All Donor Types,Heart / Lung,1641,2012,29
All Donor Types,Heart / Lung,1641,2013,23
All Donor Types,Heart / Lung,1641,2014,24
All Donor Types,Heart / Lung,1641,2015,15
All Donor Types,Heart / Lung,1641,2016,18
All Donor Types,Heart / Lung,1641,2017,29
All Donor Types,Heart / Lung,1641,2018,32
All Donor Types,Heart / Lung,1641,2019,45
All Donor Types,Heart / Lung,1641,2020,58
All Donor Types,Heart / Lung,1641,2021,45
All Donor Types,Heart / Lung,1641,2022,51
All Donor Types,Heart / Lung,1641,2023,54
All Donor Types,Heart / Lung,1641,2024,64
All Donor Types,Heart / Lung,1641,2025,61
All Donor Types,Heart / Lung,1641,2026,3
All Donor Types,Intestine,3655,1988,0
All Donor Types,Intestine,3655,1989,0
All Donor Types,Intestine,3655,1990,5
All Donor Types,Intestine,3655,1991,12
All Donor Types,Intestine,3655,1992,22
All Donor Types,Intestine,3655,1993,34
All Donor Types,Intestine,3655,1994,23
All Donor Types,Intestine,3655,1995,46
All Donor Types,Intestine,3655,1996,45
All Donor Types,Intestine,3655,1997,68
All Donor Types,Intestine,3655,1998,70
All Donor Types,Intestine,3655,1999,73
All Donor Types,Intestine,3655,2000,82
All Donor Types,Intestine,3655,2001,113
All Donor Types,Intestine,3655,2002,107
All Donor Types,Intestine,3655,2003,116
All Donor Types,Intestine,3655,2004,152
All Donor Types,Intestine,3655,2005,178
All Donor Types,Intestine,3655,2006,175
All Donor Types,Intestine,3655,2007,198
All Donor Types,Intestine,3655,2008,185
All Donor Types,Intestine,3655,2009,179
All Donor Types,Intestine,3655,2010,151
All Donor Types,Intestine,3655,2011,129
All Donor Types,Intestine,3655,2012,106
All Donor Types,Intestine,3655,2013,109
All Donor Types,Intestine,3655,2014,139
All Donor Types,Intestine,3655,2015,141
All Donor Types,Intestine,3655,2016,147
All Donor Types,Intestine,3655,2017,109
All Donor Types,Intestine,3655,2018,104
All Donor Types,Intestine,3655,2019,81
All Donor Types,Intestine,3655,2020,91
All Donor Types,Intestine,3655,2021,96
All Donor Types,Intestine,3655,2022,82
All Donor Types,Intestine,3655,2023,95
All Donor Types,Intestine,3655,2024,97
All Donor Types,Intestine,3655,2025,88
All Donor Types,Intestine,3655,2026,7
All Donor Types,Kidney,632312,1988,8878
All Donor Types,Kidney,632312,1989,8656
All Donor Types,Kidney,632312,1990,9416
All Donor Types,Kidney,632312,1991,9678
All Donor Types,Kidney,632312,1992,9738
All Donor Types,Kidney,632312,1993,10360
All Donor Types,Kidney,632312,1994,10646
All Donor Types,Kidney,632312,1995,11084
All Donor Types,Kidney,632312,1996,11411
All Donor Types,Kidney,632312,1997,11710
All Donor Types,Kidney,632312,1998,12455
All Donor Types,Kidney,632312,1999,12767
All Donor Types,Kidney,632312,2000,13631
All Donor Types,Kidney,632312,2001,14279
All Donor Types,Kidney,632312,2002,14781
All Donor Types,Kidney,632312,2003,15138
All Donor Types,Kidney,632312,2004,16007
All Donor Types,Kidney,632312,2005,16485
All Donor Types,Kidney,632312,2006,17095
All Donor Types,Kidney,632312,2007,16634
All Donor Types,Kidney,632312,2008,16521
All Donor Types,Kidney,632312,2009,16829
All Donor Types,Kidney,632312,2010,16900
All Donor Types,Kidney,632312,2011,16816
All Donor Types,Kidney,632312,2012,16487
All Donor Types,Kidney,632312,2013,16896
All Donor Types,Kidney,632312,2014,17108
All Donor Types,Kidney,632312,2015,17878
All Donor Types,Kidney,632312,2016,19060
All Donor Types,Kidney,632312,2017,19849
All Donor Types,Kidney,632312,2018,21167
All Donor Types,Kidney,632312,2019,23401
All Donor Types,Kidney,632312,2020,22817
All Donor Types,Kidney,632312,2021,24670
All Donor Types,Kidney,632312,2022,25500
All Donor Types,Kidney,632312,2023,27332
All Donor Types,Kidney,632312,2024,27760
All Donor Types,Kidney,632312,2025,27574
All Donor Types,Kidney,632312,2026,6898
All Donor Types,Kidney / Pancreas,29596,1988,171
All Donor Types,Kidney / Pancreas,29596,1989,335
All Donor Types,Kidney / Pancreas,29596,1990,459
All Donor Types,Kidney / Pancreas,29596,1991,452
All Donor Types,Kidney / Pancreas,29596,1992,493
All Donor Types,Kidney / Pancreas,29596,1993,661
All Donor Types,Kidney / Pancreas,29596,1994,748
All Donor Types,Kidney / Pancreas,29596,1995,919
All Donor Types,Kidney / Pancreas,29596,1996,861
All Donor Types,Kidney / Pancreas,29596,1997,852
All Donor Types,Kidney / Pancreas,29596,1998,972
All Donor Types,Kidney / Pancreas,29596,1999,941
All Donor Types,Kidney / Pancreas,29596,2000,915
All Donor Types,Kidney / Pancreas,29596,2001,891
All Donor Types,Kidney / Pancreas,29596,2002,906
All Donor Types,Kidney / Pancreas,29596,2003,871
All Donor Types,Kidney / Pancreas,29596,2004,881
All Donor Types,Kidney / Pancreas,29596,2005,903
All Donor Types,Kidney / Pancreas,29596,2006,924
All Donor Types,Kidney / Pancreas,29596,2007,864
All Donor Types,Kidney / Pancreas,29596,2008,837
All Donor Types,Kidney / Pancreas,29596,2009,854
All Donor Types,Kidney / Pancreas,29596,2010,828
All Donor Types,Kidney / Pancreas,29596,2011,795
All Donor Types,Kidney / Pancreas,29596,2012,801
All Donor Types,Kidney / Pancreas,29596,2013,762
All Donor Types,Kidney / Pancreas,29596,2014,709
All Donor Types,Kidney / Pancreas,29596,2015,719
All Donor Types,Kidney / Pancreas,29596,2016,798
All Donor Types,Kidney / Pancreas,29596,2017,789
All Donor Types,Kidney / Pancreas,29596,2018,835
All Donor Types,Kidney / Pancreas,29596,2019,872
All Donor Types,Kidney / Pancreas,29596,2020,827
All Donor Types,Kidney / Pancreas,29596,2021,820
All Donor Types,Kidney / Pancreas,29596,2022,810
All Donor Types,Kidney / Pancreas,29596,2023,812
All Donor Types,Kidney / Pancreas,29596,2024,733
All Donor Types,Kidney / Pancreas,29596,2025,804
All Donor Types,Kidney / Pancreas,29596,2026,172
All Donor Types,Liver,238466,1988,1713
All Donor Types,Liver,238466,1989,2202
All Donor Types,Liver,238466,1990,2690
All Donor Types,Liver,238466,1991,2953
All Donor Types,Liver,238466,1992,3064
All Donor Types,Liver,238466,1993,3440
All Donor Types,Liver,238466,1994,3652
All Donor Types,Liver,238466,1995,3934
All Donor Types,Liver,238466,1996,4087
All Donor Types,Liver,238466,1997,4189
All Donor Types,Liver,238466,1998,4519
All Donor Types,Liver,238466,1999,4757
All Donor Types,Liver,238466,2000,5001
All Donor Types,Liver,238466,2001,5195
All Donor Types,Liver,238466,2002,5332
All Donor Types,Liver,238466,2003,5673
All Donor Types,Liver,238466,2004,6171
All Donor Types,Liver,238466,2005,6444
All Donor Types,Liver,238466,2006,6651
All Donor Types,Liver,238466,2007,6494
All Donor Types,Liver,238466,2008,6319
All Donor Types,Liver,238466,2009,6320
All Donor Types,Liver,238466,2010,6291
All Donor Types,Liver,238466,2011,6342
All Donor Types,Liver,238466,2012,6256
All Donor Types,Liver,238466,2013,6455
All Donor Types,Liver,238466,2014,6730
All Donor Types,Liver,238466,2015,7127
All Donor Types,Liver,238466,2016,7841
All Donor Types,Liver,238466,2017,8082
All Donor Types,Liver,238466,2018,8250
All Donor Types,Liver,238466,2019,8896
All Donor Types,Liver,238466,2020,8906
All Donor Types,Liver,238466,2021,9236
All Donor Types,Liver,238466,2022,9528
All Donor Types,Liver,238466,2023,10659
All Donor Types,Liver,238466,2024,11458
All Donor Types,Liver,238466,2025,12344
All Donor Types,Liver,238466,2026,3265
All Donor Types,Lung,59511,1988,33
All Donor Types,Lung,59511,1989,93
All Donor Types,Lung,59511,1990,203
All Donor Types,Lung,59511,1991,405
All Donor Types,Lung,59511,1992,535
All Donor Types,Lung,59511,1993,667
All Donor Types,Lung,59511,1994,724
All Donor Types,Lung,59511,1995,872
All Donor Types,Lung,59511,1996,815
All Donor Types,Lung,59511,1997,932
All Donor Types,Lung,59511,1998,869
All Donor Types,Lung,59511,1999,893
All Donor Types,Lung,59511,2000,959
All Donor Types,Lung,59511,2001,1059
All Donor Types,Lung,59511,2002,1042
All Donor Types,Lung,59511,2003,1085
All Donor Types,Lung,59511,2004,1172
All Donor Types,Lung,59511,2005,1406
All Donor Types,Lung,59511,2006,1405
All Donor Types,Lung,59511,2007,1468
All Donor Types,Lung,59511,2008,1478
All Donor Types,Lung,59511,2009,1661
All Donor Types,Lung,59511,2010,1769
All Donor Types,Lung,59511,2011,1822
All Donor Types,Lung,59511,2012,1754
All Donor Types,Lung,59511,2013,1923
All Donor Types,Lung,59511,2014,1925
All Donor Types,Lung,59511,2015,2057
All Donor Types,Lung,59511,2016,2327
All Donor Types,Lung,59511,2017,2449
All Donor Types,Lung,59511,2018,2530
All Donor Types,Lung,59511,2019,2714
All Donor Types,Lung,59511,2020,2539
All Donor Types,Lung,59511,2021,2524
All Donor Types,Lung,59511,2022,2692
All Donor Types,Lung,59511,2023,3026
All Donor Types,Lung,59511,2024,3340
All Donor Types,Lung,59511,2025,3490
All Donor Types,Lung,59511,2026,854
All Donor Types,Pancreas,9624,1988,78
All Donor Types,Pancreas,9624,1989,82
All Donor Types,Pancreas,9624,1990,69
All Donor Types,Pancreas,9624,1991,78
All Donor Types,Pancreas,9624,1992,64
All Donor Types,Pancreas,9624,1993,112
All Donor Types,Pancreas,9624,1994,95
All Donor Types,Pancreas,9624,1995,109
All Donor Types,Pancreas,9624,1996,164
All Donor Types,Pancreas,9624,1997,210
All Donor Types,Pancreas,9624,1998,245
All Donor Types,Pancreas,9624,1999,359
All Donor Types,Pancreas,9624,2000,439
All Donor Types,Pancreas,9624,2001,473
All Donor Types,Pancreas,9624,2002,555
All Donor Types,Pancreas,9624,2003,504
All Donor Types,Pancreas,9624,2004,603
All Donor Types,Pancreas,9624,2005,542
All Donor Types,Pancreas,9624,2006,466
All Donor Types,Pancreas,9624,2007,468
All Donor Types,Pancreas,9624,2008,434
All Donor Types,Pancreas,9624,2009,375
All Donor Types,Pancreas,9624,2010,349
All Donor Types,Pancreas,9624,2011,287
All Donor Types,Pancreas,9624,2012,242
All Donor Types,Pancreas,9624,2013,256
All Donor Types,Pancreas,9624,2014,245
All Donor Types,Pancreas,9624,2015,228
All Donor Types,Pancreas,9624,2016,215
All Donor Types,Pancreas,9624,2017,213
All Donor Types,Pancreas,9624,2018,192
All Donor Types,Pancreas,9624,2019,143
All Donor Types,Pancreas,9624,2020,135
All Donor Types,Pancreas,9624,2021,143
All Donor Types,Pancreas,9624,2022,108
All Donor Types,Pancreas,9624,2023,102
All Donor Types,Pancreas,9624,2024,114
All Donor Types,Pancreas,9624,2025,107
All Donor Types,Pancreas,9624,2026,21
All Donor Types,VCA - abdominal wall,22,1988,0
All Donor Types,VCA - abdominal wall,22,1989,0
All Donor Types,VCA - abdominal wall,22,1990,0
All Donor Types,VCA - abdominal wall,22,1991,0
All Donor Types,VCA - abdominal wall,22,1992,0
All Donor Types,VCA - abdominal wall,22,1993,0
All Donor Types,VCA - abdominal wall,22,1994,0
All Donor Types,VCA - abdominal wall,22,1995,0
All Donor Types,VCA - abdominal wall,22,1996,0
All Donor Types,VCA - abdominal wall,22,1997,0
All Donor Types,VCA - abdominal wall,22,1998,0
All Donor Types,VCA - abdominal wall,22,1999,0
All Donor Types,VCA - abdominal wall,22,2000,0
All Donor Types,VCA - abdominal wall,22,2001,3
All Donor Types,VCA - abdominal wall,22,2002,5
All Donor Types,VCA - abdominal wall,22,2003,2
All Donor Types,VCA - abdominal wall,22,2004,1
All Donor Types,VCA - abdominal wall,22,2005,1
All Donor Types,VCA - abdominal wall,22,2006,0
All Donor Types,VCA - abdominal wall,22,2007,0
All Donor Types,VCA - abdominal wall,22,2008,0
All Donor Types,VCA - abdominal wall,22,2009,1
All Donor Types,VCA - abdominal wall,22,2010,0
All Donor Types,VCA - abdominal wall,22,2011,4
All Donor Types,VCA - abdominal wall,22,2012,1
All Donor Types,VCA - abdominal wall,22,2013,0
All Donor Types,VCA - abdominal wall,22,2014,0
All Donor Types,VCA - abdominal wall,22,2015,1
All Donor Types,VCA - abdominal wall,22,2016,0
All Donor Types,VCA - abdominal wall,22,2017,0
All Donor Types,VCA - abdominal wall,22,2018,1
All Donor Types,VCA - abdominal wall,22,2019,0
All Donor Types,VCA - abdominal wall,22,2020,0
All Donor Types,VCA - abdominal wall,22,2021,0
All Donor Types,VCA - abdominal wall,22,2022,2
All Donor Types,VCA - abdominal wall,22,2023,0
All Donor Types,VCA - abdominal wall,22,2024,0
All Donor Types,VCA - abdominal wall,22,2025,0
All Donor Types,VCA - abdominal wall,22,2026,0
All Donor Types,VCA - external male genitalia,2,1988,0
All Donor Types,VCA - external male genitalia,2,1989,0
All Donor Types,VCA - external male genitalia,2,1990,0
All Donor Types,VCA - external male genitalia,2,1991,0
All Donor Types,VCA - external male genitalia,2,1992,0
All Donor Types,VCA - external male genitalia,2,1993,0
All Donor Types,VCA - external male genitalia,2,1994,0
All Donor Types,VCA - external male genitalia,2,1995,0
All Donor Types,VCA - external male genitalia,2,1996,0
All Donor Types,VCA - external male genitalia,2,1997,0
All Donor Types,VCA - external male genitalia,2,1998,0
All Donor Types,VCA - external male genitalia,2,1999,0
All Donor Types,VCA - external male genitalia,2,2000,0
All Donor Types,VCA - external male genitalia,2,2001,0
All Donor Types,VCA - external male genitalia,2,2002,0
All Donor Types,VCA - external male genitalia,2,2003,0
All Donor Types,VCA - external male genitalia,2,2004,0
All Donor Types,VCA - external male genitalia,2,2005,0
All Donor Types,VCA - external male genitalia,2,2006,0
All Donor Types,VCA - external male genitalia,2,2007,0
All Donor Types,VCA - external male genitalia,2,2008,0
All Donor Types,VCA - external male genitalia,2,2009,0
All Donor Types,VCA - external male genitalia,2,2010,0
All Donor Types,VCA - external male genitalia,2,2011,0
All Donor Types,VCA - external male genitalia,2,2012,0
All Donor Types,VCA - external male genitalia,2,2013,0
All Donor Types,VCA - external male genitalia,2,2014,0
All Donor Types,VCA - external male genitalia,2,2015,0
All Donor Types,VCA - external male genitalia,2,2016,1
All Donor Types,VCA - external male genitalia,2,2017,0
All Donor Types,VCA - external male genitalia,2,2018,1
All Donor Types,VCA - external male genitalia,2,2019,0
All Donor Types,VCA - external male genitalia,2,2020,0
All Donor Types,VCA - external male genitalia,2,2021,0
All Donor Types,VCA - external male genitalia,2,2022,0
All Donor Types,VCA - external male genitalia,2,2023,0
All Donor Types,VCA - external male genitalia,2,2024,0
All Donor Types,VCA - external male genitalia,2,2025,0
All Donor Types,VCA - external male genitalia,2,2026,0
All Donor Types,VCA - head and neck,25,1988,0
All Donor Types,VCA - head and neck,25,1989,0
All Donor Types,VCA - head and neck,25,1990,0
All Donor Types,VCA - head and neck,25,1991,0
All Donor Types,VCA - head and neck,25,1992,0
All Donor Types,VCA - head and neck,25,1993,0
All Donor Types,VCA - head and neck,25,1994,0
All Donor Types,VCA - head and neck,25,1995,0
All Donor Types,VCA - head and neck,25,1996,0
All Donor Types,VCA - head and neck,25,1997,0
All Donor Types,VCA - head and neck,25,1998,1
All Donor Types,VCA - head and neck,25,1999,0
All Donor Types,VCA - head and neck,25,2000,0
All Donor Types,VCA - head and neck,25,2001,0
All Donor Types,VCA - head and neck,25,2002,0
All Donor Types,VCA - head and neck,25,2003,0
All Donor Types,VCA - head and neck,25,2004,0
All Donor Types,VCA - head and neck,25,2005,0
All Donor Types,VCA - head and neck,25,2006,0
All Donor Types,VCA - head and neck,25,2007,0
All Donor Types,VCA - head and neck,25,2008,1
All Donor Types,VCA - head and neck,25,2009,1
All Donor Types,VCA - head and neck,25,2010,1
All Donor Types,VCA - head and neck,25,2011,3
All Donor Types,VCA - head and neck,25,2012,1
All Donor Types,VCA - head and neck,25,2013,1
All Donor Types,VCA - head and neck,25,2014,3
All Donor Types,VCA - head and neck,25,2015,2
All Donor Types,VCA - head and neck,25,2016,1
All Donor Types,VCA - head and neck,25,2017,1
All Donor Types,VCA - head and neck,25,2018,2
All Donor Types,VCA - head and neck,25,2019,1
All Donor Types,VCA - head and neck,25,2020,2
All Donor Types,VCA - head and neck,25,2021,1
All Donor Types,VCA - head and neck,25,2022,0
All Donor Types,VCA - head and neck,25,2023,1
All Donor Types,VCA - head and neck,25,2024,2
All Donor Types,VCA - head and neck,25,2025,0
All Donor Types,VCA - head and neck,25,2026,0
All Donor Types,VCA - other genitourinary organ,2,1988,0
All Donor Types,VCA - other genitourinary organ,2,1989,0
All Donor Types,VCA - other genitourinary organ,2,1990,0
All Donor Types,VCA - other genitourinary organ,2,1991,0
All Donor Types,VCA - other genitourinary organ,2,1992,0
All Donor Types,VCA - other genitourinary organ,2,1993,0
All Donor Types,VCA - other genitourinary organ,2,1994,0
All Donor Types,VCA - other genitourinary organ,2,1995,0
All Donor Types,VCA - other genitourinary organ,2,1996,0
All Donor Types,VCA - other genitourinary organ,2,1997,0
All Donor Types,VCA - other genitourinary organ,2,1998,0
All Donor Types,VCA - other genitourinary organ,2,1999,0
All Donor Types,VCA - other genitourinary organ,2,2000,0
All Donor Types,VCA - other genitourinary organ,2,2001,0
All Donor Types,VCA - other genitourinary organ,2,2002,0
All Donor Types,VCA - other genitourinary organ,2,2003,0
All Donor Types,VCA - other genitourinary organ,2,2004,0
All Donor Types,VCA - other genitourinary organ,2,2005,0
All Donor Types,VCA - other genitourinary organ,2,2006,0
All Donor Types,VCA - other genitourinary organ,2,2007,0
All Donor Types,VCA - other genitourinary organ,2,2008,0
All Donor Types,VCA - other genitourinary organ,2,2009,0
All Donor Types,VCA - other genitourinary organ,2,2010,0
All Donor Types,VCA - other genitourinary organ,2,2011,0
All Donor Types,VCA - other genitourinary organ,2,2012,0
All Donor Types,VCA - other genitourinary organ,2,2013,0
All Donor Types,VCA - other genitourinary organ,2,2014,0
All Donor Types,VCA - other genitourinary organ,2,2015,0
All Donor Types,VCA - other genitourinary organ,2,2016,0
All Donor Types,VCA - other genitourinary organ,2,2017,0
All Donor Types,VCA - other genitourinary organ,2,2018,0
All Donor Types,VCA - other genitourinary organ,2,2019,0
All Donor Types,VCA - other genitourinary organ,2,2020,0
All Donor Types,VCA - other genitourinary organ,2,2021,0
All Donor Types,VCA - other genitourinary organ,2,2022,0
All Donor Types,VCA - other genitourinary organ,2,2023,0
All Donor Types,VCA - other genitourinary organ,2,2024,0
All Donor Types,VCA - other genitourinary organ,2,2025,1
All Donor Types,VCA - other genitourinary organ,2,2026,1
All Donor Types,VCA - upper limb,38,1988,0
All Donor Types,VCA - upper limb,38,1989,0
All Donor Types,VCA - upper limb,38,1990,0
All Donor Types,VCA - upper limb,38,1991,0
All Donor Types,VCA - upper limb,38,1992,0
All Donor Types,VCA - upper limb,38,1993,0
All Donor Types,VCA - upper limb,38,1994,0
All Donor Types,VCA - upper limb,38,1995,0
All Donor Types,VCA - upper limb,38,1996,0
All Donor Types,VCA - upper limb,38,1997,0
All Donor Types,VCA - upper limb,38,1998,0
All Donor Types,VCA - upper limb,38,1999,1
All Donor Types,VCA - upper limb,38,2000,0
All Donor Types,VCA - upper limb,38,2001,1
All Donor Types,VCA - upper limb,38,2002,0
All Donor Types,VCA - upper limb,38,2003,0
All Donor Types,VCA - upper limb,38,2004,0
All Donor Types,VCA - upper limb,38,2005,0
All Donor Types,VCA - upper limb,38,2006,1
All Donor Types,VCA - upper limb,38,2007,0
All Donor Types,VCA - upper limb,38,2008,2
All Donor Types,VCA - upper limb,38,2009,2
All Donor Types,VCA - upper limb,38,2010,5
All Donor Types,VCA - upper limb,38,2011,6
All Donor Types,VCA - upper limb,38,2012,4
All Donor Types,VCA - upper limb,38,2013,0
All Donor Types,VCA - upper limb,38,2014,2
All Donor Types,VCA - upper limb,38,2015,2
All Donor Types,VCA - upper limb,38,2016,5
All Donor Types,VCA - upper limb,38,2017,1
All Donor Types,VCA - upper limb,38,2018,1
All Donor Types,VCA - upper limb,38,2019,2
All Donor Types,VCA - upper limb,38,2020,1
All Donor Types,VCA - upper limb,38,2021,1
All Donor Types,VCA - upper limb,38,2022,0
All Donor Types,VCA - upper limb,38,2023,0
All Donor Types,VCA - upper limb,38,2024,1
All Donor Types,VCA - upper limb,38,2025,0
All Donor Types,VCA - upper limb,38,2026,0
All Donor Types,VCA - uterus,67,1988,0
All Donor Types,VCA - uterus,67,1989,0
All Donor Types,VCA - uterus,67,1990,0
All Donor Types,VCA - uterus,67,1991,0
All Donor Types,VCA - uterus,67,1992,0
All Donor Types,VCA - uterus,67,1993,0
All Donor Types,VCA - uterus,67,1994,0
All Donor Types,VCA - uterus,67,1995,0
All Donor Types,VCA - uterus,67,1996,0
All Donor Types,VCA - uterus,67,1997,0
All Donor Types,VCA - uterus,67,1998,0
All Donor Types,VCA - uterus,67,1999,0
All Donor Types,VCA - uterus,67,2000,0
All Donor Types,VCA - uterus,67,2001,0
All Donor Types,VCA - uterus,67,2002,0
All Donor Types,VCA - uterus,67,2003,0
All Donor Types,VCA - uterus,67,2004,0
All Donor Types,VCA - uterus,67,2005,0
All Donor Types,VCA - uterus,67,2006,0
All Donor Types,VCA - uterus,67,2007,0
All Donor Types,VCA - uterus,67,2008,0
All Donor Types,VCA - uterus,67,2009,0
All Donor Types,VCA - uterus,67,2010,0
All Donor Types,VCA - uterus,67,2011,0
All Donor Types,VCA - uterus,67,2012,0
All Donor Types,VCA - uterus,67,2013,0
All Donor Types,VCA - uterus,67,2014,0
All Donor Types,VCA - uterus,67,2015,0
All Donor Types,VCA - uterus,67,2016,6
All Donor Types,VCA - uterus,67,2017,4
All Donor Types,VCA - uterus,67,2018,7
All Donor Types,VCA - uterus,67,2019,12
All Donor Types,VCA - uterus,67,2020,2
All Donor Types,VCA - uterus,67,2021,2
All Donor Types,VCA - uterus,67,2022,5
All Donor Types,VCA - uterus,67,2023,8
All Donor Types,VCA - uterus,67,2024,9
All Donor Types,VCA - uterus,67,2025,9
All Donor Types,VCA - uterus,67,2026,3
Deceased Donor,All Organs,869225,1988,10794
Deceased Donor,All Organs,869225,1989,11222
Deceased Donor,All Organs,869225,1990,12878
Deceased Donor,All Organs,869225,1991,13329
Deceased Donor,All Organs,869225,1992,13563
Deceased Donor,All Organs,869225,1993,14733
Deceased Donor,All Organs,869225,1994,15211
Deceased Donor,All Organs,869225,1995,15921
Deceased Donor,All Organs,869225,1996,15983
Deceased Donor,All Organs,869225,1997,16266
Deceased Donor,All Organs,869225,1998,16980
Deceased Donor,All Organs,869225,1999,17011
Deceased Donor,All Organs,869225,2000,17335
Deceased Donor,All Organs,869225,2001,17645
Deceased Donor,All Organs,869225,2002,18297
Deceased Donor,All Organs,869225,2003,18661
Deceased Donor,All Organs,869225,2004,20050
Deceased Donor,All Organs,869225,2005,21214
Deceased Donor,All Organs,869225,2006,22208
Deceased Donor,All Organs,869225,2007,22053
Deceased Donor,All Organs,869225,2008,21749
Deceased Donor,All Organs,869225,2009,21854
Deceased Donor,All Organs,869225,2010,22107
Deceased Donor,All Organs,869225,2011,22531
Deceased Donor,All Organs,869225,2012,22193
Deceased Donor,All Organs,869225,2013,22968
Deceased Donor,All Organs,869225,2014,23721
Deceased Donor,All Organs,869225,2015,24985
Deceased Donor,All Organs,869225,2016,27630
Deceased Donor,All Organs,869225,2017,28588
Deceased Donor,All Organs,869225,2018,29681
Deceased Donor,All Organs,869225,2019,32322
Deceased Donor,All Organs,869225,2020,33310
Deceased Donor,All Organs,869225,2021,34814
Deceased Donor,All Organs,869225,2022,36421
Deceased Donor,All Organs,869225,2023,39679
Deceased Donor,All Organs,869225,2024,41119
