id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
IAOP-OP1,source_dsa,Iowa Donor Network,Iowa,Region  8,0,338,338,77,41.751,-91.6363,facility_or_city,1,"Iowa Donor Network, Iowa (organ procurement)",nominatim_batch;review
NCCM-TX1,transplant_center,Carolinas Medical Center,North Carolina,Region  11,334,0,334,33,35.2038,-80.8387,facility_or_city,1,"Carolinas Medical Center, North Carolina (transplant center hospital)",nominatim_batch;review
VAUV-TX1,transplant_center,University of Virginia Health Sciences Center,Virginia,Region  11,333,0,333,40,,,missing,1,"University of Virginia Health Sciences Center, Virginia (transplant center hospital)",
LAOF-TX1,transplant_center,Ochsner Foundation Hospital,Louisiana,Region  3,329,0,329,32,29.9611,-90.1457,facility_or_city,1,"Ochsner Foundation Hospital, Louisiana (transplant center hospital)",nominatim_batch;review
NEOR-OP1,source_dsa,Live On Nebraska,Nebraska,Region  8,0,327,327,71,41.1254,-98.2681,state_centroid,1,"Live On Nebraska, Nebraska (organ procurement)",
MIHF-TX1,transplant_center,Henry Ford Hospital,Michigan,Region  10,325,0,325,36,42.3691,-83.0854,facility_or_city,1,"Henry Ford Hospital, Michigan (transplant center hospital)",nominatim_batch;review
CALL-TX1,transplant_center,Loma Linda University Medical Center,California,Region  5,324,0,324,21,34.0491,-117.2634,facility_or_city,1,"Loma Linda University Medical Center, California (transplant center hospital)",nominatim_batch;review
CAUH-TX1,transplant_center,Keck Hospital of USC,California,Region  5,322,0,322,13,34.0627,-118.2019,facility_or_city,1,"Keck Hospital of USC, California (transplant center hospital)",nominatim_batch;review
TXHS-TX1,transplant_center,Methodist Specialty and Transplant Hospital,Texas,Region  4,321,0,321,33,29.5142,-98.5764,facility_or_city,1,"Methodist Specialty and Transplant Hospital, Texas (transplant center hospital)",nominatim_batch;review
WIDN-OP1,source_dsa,"Versiti Blood Health, Inc.",Wisconsin,Region  7,0,317,317,71,,,missing,1,"Versiti Blood Health, Inc., Wisconsin (organ procurement)",
MSOP-OP1,source_dsa,Mississippi Organ Recovery Agency,Mississippi,Region  3,0,314,314,82,,,missing,1,"Mississippi Organ Recovery Agency, Mississippi (organ procurement)",
CAPM-TX1,transplant_center,California Pacific Medical Center-Van Ness Campus,California,Region  5,312,0,312,14,36.1162,-119.6816,state_centroid,1,"California Pacific Medical Center-Van Ness Campus, California (transplant center hospital)",
NYMA-TX1,transplant_center,Montefiore Medical Center,New York,Region  9,298,0,298,44,40.8801,-73.8798,facility_or_city,1,"Montefiore Medical Center, New York (transplant center hospital)",nominatim_batch;review
ILLU-TX1,transplant_center,Loyola University Medical Center,Illinois,Region  7,295,0,295,38,41.8583,-87.8352,facility_or_city,1,"Loyola University Medical Center, Illinois (transplant center hospital)",nominatim_batch;review
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,Region  2,295,0,295,39,40.7635,-74.3048,facility_or_city,1,"Saint Barnabas Medical Center, New Jersey (transplant center hospital)",nominatim_batch;review
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,Region  4,288,0,288,36,,,missing,1,"University Hospital, University of Texas Health Science Center, Texas (transplant center hospital)",
OHUH-TX1,transplant_center,University Hospitals of Cleveland,Ohio,Region  11,265,0,265,32,41.5061,-81.6051,facility_or_city,1,"University Hospitals of Cleveland, Ohio (transplant center hospital)",nominatim_batch;review
NMOP-OP1,source_dsa,New Mexico Donor Services,New Mexico,Region  5,0,259,259,66,35.1011,-106.6297,facility_or_city,1,"New Mexico Donor Services, New Mexico (organ procurement)",nominatim_batch;review
OHUC-TX1,transplant_center,University of Cincinnati  Medical Center,Ohio,Region  11,259,0,259,32,39.1377,-84.5031,facility_or_city,1,"University of Cincinnati  Medical Center, Ohio (transplant center hospital)",nominatim_batch;review
