id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
ILPL-TX1,transplant_center,Rush University Medical Center,Illinois,164,41.8746,-87.6691,facility_or_city,2,batch_hit_needs_spot_check,"Rush University Medical Center, Illinois (transplant center hospital)"
MANM-TX1,transplant_center,Tufts Medical Center,Massachusetts,160,42.3497,-71.0639,facility_or_city,2,batch_hit_needs_spot_check,"Tufts Medical Center, Massachusetts (transplant center hospital)"
PAAG-TX1,transplant_center,Allegheny General Hospital,Pennsylvania,155,40.457,-80.0033,facility_or_city,2,batch_hit_needs_spot_check,"Allegheny General Hospital, Pennsylvania (transplant center hospital)"
MAUM-TX1,transplant_center,UMass Memorial Medical Center,Massachusetts,154,42.2852,-71.7897,facility_or_city,2,batch_hit_needs_spot_check,"UMass Memorial Medical Center, Massachusetts (transplant center hospital)"
MALC-TX1,transplant_center,Lahey Clinic Medical Center,Massachusetts,152,42.4846,-71.2042,facility_or_city,2,batch_hit_needs_spot_check,"Lahey Clinic Medical Center, Massachusetts (transplant center hospital)"
CTYN-TX1,transplant_center,Yale New Haven Hospital,Connecticut,137,41.3046,-72.9356,facility_or_city,2,batch_hit_needs_spot_check,"Yale New Haven Hospital, Connecticut (transplant center hospital)"
MAPB-TX1,transplant_center,Brigham and Women's Hospital,Massachusetts,134,42.3356,-71.106,facility_or_city,2,batch_hit_needs_spot_check,"Brigham and Women's Hospital, Massachusetts (transplant center hospital)"
PALV-TX1,transplant_center,Lehigh Valley Hospital,Pennsylvania,133,40.5652,-75.522,facility_or_city,2,batch_hit_needs_spot_check,"Lehigh Valley Hospital, Pennsylvania (transplant center hospital)"
TXTC-TX1,transplant_center,Texas Children's Hospital,Texas,133,29.7069,-95.4023,facility_or_city,2,batch_hit_needs_spot_check,"Texas Children's Hospital, Texas (transplant center hospital)"
CTHH-TX1,transplant_center,Hartford Hospital,Connecticut,130,41.7541,-72.6794,facility_or_city,2,batch_hit_needs_spot_check,"Hartford Hospital, Connecticut (transplant center hospital)"
SCPG-TX1,transplant_center,Prisma Health Greenville Memorial Hospital,South Carolina,129,34.8196,-82.4104,facility_or_city,2,batch_hit_needs_spot_check,"Prisma Health Greenville Memorial Hospital, South Carolina (transplant center hospital)"
KYJH-TX1,transplant_center,Jewish Hospital,Kentucky,127,38.2503,-85.7502,facility_or_city,2,batch_hit_needs_spot_check,"Jewish Hospital, Kentucky (transplant center hospital)"
FLLM-TX1,transplant_center,Largo Medical Center,Florida,121,27.9599,-82.7413,facility_or_city,2,batch_hit_needs_spot_check,"Largo Medical Center, Florida (transplant center hospital)"
MOLH-TX1,transplant_center,St Luke's Hospital of Kansas City,Missouri,118,39.0483,-94.5911,facility_or_city,2,batch_hit_needs_spot_check,"St Luke's Hospital of Kansas City, Missouri (transplant center hospital)"
SCLA-TX1,transplant_center,MUSC Lancaster,South Carolina,117,34.7178,-80.7884,facility_or_city,2,batch_hit_needs_spot_check,"MUSC Lancaster, South Carolina (transplant center hospital)"
HIQM-TX1,transplant_center,The Queen's Medical Center,Hawaii,112,21.3081,-157.8539,facility_or_city,2,batch_hit_needs_spot_check,"The Queen's Medical Center, Hawaii (transplant center hospital)"
NYEC-TX1,transplant_center,Erie County Medical Center,New York,107,42.9263,-78.8325,facility_or_city,2,batch_hit_needs_spot_check,"Erie County Medical Center, New York (transplant center hospital)"
COPM-TX1,transplant_center,AdventHealth Porter,Colorado,104,39.6718,-104.9741,facility_or_city,2,batch_hit_needs_spot_check,"AdventHealth Porter, Colorado (transplant center hospital)"
NJRW-TX1,transplant_center,Robert Wood Johnson University Hospital,New Jersey,101,40.4953,-74.4496,facility_or_city,2,batch_hit_needs_spot_check,"Robert Wood Johnson University Hospital, New Jersey (transplant center hospital)"
PRSJ-TX1,transplant_center,Auxilio Mutuo Hospital,Puerto Rico,94,18.4096,-66.0511,facility_or_city,2,batch_hit_needs_spot_check,"Auxilio Mutuo Hospital, Puerto Rico (transplant center hospital)"
MOSL-TX1,transplant_center,SSM Health Saint Louis University Hospital,Missouri,93,38.6242,-90.2392,facility_or_city,2,batch_hit_needs_spot_check,"SSM Health Saint Louis University Hospital, Missouri (transplant center hospital)"
VANG-TX1,transplant_center,Sentara Norfolk General Hospital,Virginia,93,36.8625,-76.3038,facility_or_city,2,batch_hit_needs_spot_check,"Sentara Norfolk General Hospital, Virginia (transplant center hospital)"
CASH-TX1,transplant_center,Sharp Memorial Hospital,California,86,32.7997,-117.1544,facility_or_city,2,batch_hit_needs_spot_check,"Sharp Memorial Hospital, California (transplant center hospital)"
LAWK-TX1,transplant_center,Willis-Knighton Medical Center,Louisiana,86,32.4849,-93.7787,facility_or_city,2,batch_hit_needs_spot_check,"Willis-Knighton Medical Center, Louisiana (transplant center hospital)"
INSV-TX1,transplant_center,Ascension St. Vincent Hospital,Indiana,85,37.9829,-87.4389,facility_or_city,2,batch_hit_needs_spot_check,"Ascension St. Vincent Hospital, Indiana (transplant center hospital)"
NCEC-TX1,transplant_center,ECU Health Medical Center,North Carolina,85,35.6076,-77.4029,facility_or_city,2,batch_hit_needs_spot_check,"ECU Health Medical Center, North Carolina (transplant center hospital)"
TXPL-TX1,transplant_center,Medical City Fort Worth,Texas,85,32.7357,-97.3451,facility_or_city,2,batch_hit_needs_spot_check,"Medical City Fort Worth, Texas (transplant center hospital)"
COSL-TX1,transplant_center,Presbyterian/St Luke's Medical Center,Colorado,82,39.7472,-104.967,facility_or_city,2,batch_hit_needs_spot_check,"Presbyterian/St Luke's Medical Center, Colorado (transplant center hospital)"
WISL-TX1,transplant_center,Aurora St. Luke's Medical Center,Wisconsin,82,42.99,-87.9504,facility_or_city,2,batch_hit_needs_spot_check,"Aurora St. Luke's Medical Center, Wisconsin (transplant center hospital)"
WVCA-TX1,transplant_center,Charleston Area Medical Center,West Virginia,79,38.3301,-81.6027,facility_or_city,2,batch_hit_needs_spot_check,"Charleston Area Medical Center, West Virginia (transplant center hospital)"
WAVM-TX1,transplant_center,Virginia Mason Medical Center,Washington,78,47.6102,-122.3279,facility_or_city,2,batch_hit_needs_spot_check,"Virginia Mason Medical Center, Washington (transplant center hospital)"
