,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
Obstructive Lung Disease,,4,0,0,0,0,0,4,0,0,0,0,0,0,0
Occupational Lung Disease Other Specify,,5,0,0,0,0,0,5,0,0,0,0,0,0,0
Other Cancers,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Anti-Gbm,,69,69,0,0,0,0,0,0,0,0,0,0,0,0
Oxalate Nephropathy (Includes Hereditary Oxalosis,,110,109,0,0,1,0,0,0,0,0,0,0,0,0
Pancreatectomy Prior To Pancreas Tx,,4,0,0,4,0,0,0,0,0,0,0,0,0,0
Plm: Cholangiocarcinoma (Ch-Ca),,46,0,46,0,0,0,0,0,0,0,0,0,0,0
Plm: Fibrolamellar (Fl-Hc),,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plm: Hemangioendothelioma, Hemangiosarcoma, Angio",,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Plm: Hepatoblastoma (Hbl),,5,0,5,0,0,0,0,0,0,0,0,0,0,0
Plm: Hepatoma (Hcc) And Cirrhosis,,427,0,427,0,0,0,0,0,0,0,0,0,0,0
Plm: Hepatoma -. Hepatocellular Carcinoma,,425,0,425,0,0,0,0,0,0,0,0,0,0,0
Antibiotic-Induced Nephritis,,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"Plm: Other Specify (I.E., Klatzkin Tumor, Leiomys",,9,0,9,0,0,0,0,0,0,0,0,0,0,0
Polyarteritis,,12,12,0,0,0,0,0,0,0,0,0,0,0,0
Polycystic Kidneys,,"6,202","6,196",0,1,5,0,0,0,0,0,0,0,0,0
Polymyositis,,4,0,0,0,0,0,4,0,0,0,0,0,0,0
Portopulmonary Hypertension,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Pre-Bmtransplantation Total Body Irradiation,,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Primary Biliary Cirrhosis (Pbc),,181,0,181,0,0,0,0,0,0,0,0,0,0,0
Primary Ciliary Dyskinesia,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Progressive Systemic Sclerosis,,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Prune Belly Syndrome,,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Ards/Pneumonia,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Psc: Crohn'S Disease,,35,0,35,0,0,0,0,0,0,0,0,0,0,0
Psc: No Bowel Disease,,120,0,120,0,0,0,0,0,0,0,0,0,0,0
Psc: Other Specify,,39,0,39,0,0,0,0,0,0,0,0,0,0,0
Psc: Ulcerative Colitis,,134,0,134,0,0,0,0,0,0,0,0,0,0,0
Pulmonary Fibrosis Other Specify Cause,,99,0,0,0,0,0,98,1,0,0,0,0,0,0
Pulmonary Hypertension/Pulmonary Arterial Hyperte,,43,0,0,0,0,0,32,11,0,0,0,0,0,0
Arrhythmogenic Right Ventricular Dysplasia/Cardio,,34,0,0,0,0,34,0,0,0,0,0,0,0,0
Pulmonary Vascular Disease,,5,0,0,0,0,0,3,2,0,0,0,0,0,0
Pulmonary Veno-Occlusive Disease,,4,0,0,0,0,0,3,1,0,0,0,0,0,0
Radiation Nephritis,,8,8,0,0,0,0,0,0,0,0,0,0,0,0
Rapid Progressive Glomerulonephritis (Rpgn),,129,129,0,0,0,0,0,0,0,0,0,0,0,0
Renal Artery Thrombosis,,13,13,0,0,0,0,0,0,0,0,0,0,0,0
Renal Cell Carcinoma,,225,225,0,0,0,0,0,0,0,0,0,0,0,0
Restrictive Myopathy: Amyloidosis,,33,0,0,0,0,33,0,0,0,0,0,0,0,0
Benign Tumor: Hepatic Adenoma,,11,0,11,0,0,0,0,0,0,0,0,0,0,0
Restrictive Myopathy: Idiopathic,,30,0,0,0,0,30,0,0,0,0,0,0,0,0
Restrictive Myopathy: Other Specify,,18,0,0,0,0,18,0,0,0,0,0,0,0,0
Restrictive Myopathy: Sarcoidosis,,50,0,0,0,0,50,0,0,0,0,0,0,0,0
Restrictive Myopathy: Sec To Radiat/Chem,,7,0,0,0,0,7,0,0,0,0,0,0,0,0
Retransplant/Graft Failure,,"6,148","6,108",0,4,36,0,0,0,0,0,0,0,0,0
Rheumatoid Arthritis,,12,12,0,0,0,0,0,0,0,0,0,0,0,0
