,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
,Psc: Crohn'S Disease,,50,0,50,0,0,0,0,0,0,0,0
,Psc: No Bowel Disease,,133,0,133,0,0,0,0,0,0,0,0
,Psc: Other Specify,,42,0,42,0,0,0,0,0,0,0,0
,Psc: Ulcerative Colitis,,193,0,193,0,0,0,0,0,0,0,0
,Pulmonary Fibrosis Other Specify Cause,,396,0,0,0,0,0,393,3,0,0,0
,Pulmonary Hypertension/Pulmonary Arterial Hyperte,,69,0,0,0,0,0,59,10,0,0,0
,Pulmonary Telangiectasia -. Restrictive,,1,0,0,0,0,0,1,0,0,0,0
,
,Arrhythmogenic Right Ventricular Dysplasia/Cardio,,49,0,0,0,0,49,0,0,0,0,0
,Pulmonary Thromboembolic Disease,,1,0,0,0,0,0,1,0,0,0,0
,Pulmonary Vascular Disease,,3,0,0,0,0,0,3,0,0,0,0
,Pulmonary Veno-Occlusive Disease,,10,0,0,0,0,0,9,1,0,0,0
,Radiation Nephritis,,4,4,0,0,0,0,0,0,0,0,0
,Rapid Progressive Glomerulonephritis (Rpgn),,41,41,0,0,0,0,0,0,0,0,0
,Renal Artery Thrombosis,,4,4,0,0,0,0,0,0,0,0,0
,Renal Cell Carcinoma,,83,83,0,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Amyloidosis,,90,0,0,0,0,90,0,0,0,0,0
,Restrictive Myopathy: Endocardial Fibros,,2,0,0,0,0,2,0,0,0,0,0
,Benign Tumor: Hepatic Adenoma,,15,0,15,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Idiopathic,,27,0,0,0,0,27,0,0,0,0,0
,Restrictive Myopathy: Other Specify,,36,0,0,0,0,35,0,1,0,0,0
,Restrictive Myopathy: Sarcoidosis,,60,0,0,0,0,59,0,1,0,0,0
,Restrictive Myopathy: Sec To Radiat/Chem,,16,0,0,0,0,16,0,0,0,0,0
,Retransplant/Graft Failure,,"2,024","2,019",0,0,5,0,0,0,0,0,0
,Rheumatoid Disease,,53,0,0,0,0,0,53,0,0,0,0
