,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
ORVA-TX1 VA Portland Health Care System,,65,47,18,0,0,0,0,0,0,0,0
PAAE-TX1 Albert Einstein Medical Center,,137,56,80,0,1,0,0,0,0,0,0
PAAG-TX1 Allegheny General Hospital,,177,95,63,0,1,18,0,0,0,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,69,15,29,1,0,18,1,0,5,0,0
PACP-TX1 Children's Hospital of Philadelphia,,50,23,13,0,0,12,2,0,0,0,0
PAGM-TX1 Geisinger Medical Center,,97,69,28,0,0,0,0,0,0,0,0
PAHE-TX1 Penn State Milton S Hershey Medical Center,,13,0,0,0,0,13,0,0,0,0,0
PAHH-TX1 Pinnacle Health System at Harrisburg Hospital,,84,84,0,0,0,0,0,0,0,0,0
PALV-TX1 Lehigh Valley Hospital,,167,140,23,0,4,0,0,0,0,0,0
PAPH-TX1 UPMC Hamot,,11,11,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,414,172,140,2,5,33,59,1,2,0,0
PASC-TX1 St. Christopher's Hospital for Children,,2,2,0,0,0,0,0,0,0,0,0
PATJ-TX1 Thomas Jefferson University Hospital,,211,100,81,0,0,20,9,1,0,0,0
PATU-TX1 Temple University Hospital,,252,59,6,0,2,6,178,1,0,0,0
PAUP-TX1 Hospital of the University of Pennsylvania,,631,310,172,0,37,57,55,0,0,0,0
PAVA-TX1 VA Pittsburgh Healthcare System,,59,44,15,0,0,0,0,0,0,0,0
PRCC-TX1 Cardiovascular Center of Puerto Rico and the Caribbean,,2,0,0,0,0,2,0,0,0,0,0
PRSJ-TX1 Auxilio Mutuo Hospital,,101,48,40,0,13,0,0,0,0,0,0
RIRH-TX1 Rhode Island Hospital,,49,49,0,0,0,0,0,0,0,0,0
SCCH-TX1 MUSC Children's Hospital,,14,3,1,0,0,10,0,0,0,0,0
SCLA-TX1 MUSC Lancaster,,117,117,0,0,0,0,0,0,0,0,0
SCMU-TX1 Medical University of South Carolina,,677,382,177,1,19,77,21,0,0,0,0
SCPG-TX1 Prisma Health Greenville Memorial Hospital,,142,116,10,0,16,0,0,0,0,0,0
SDMK-TX1 Avera McKennan Hospital,,25,25,0,0,0,0,0,0,0,0,0
SDSV-TX1 Sanford Health/USD Medical Center,,25,25,0,0,0,0,0,0,0,0,0
TNBM-TX1 Baptist Memorial Hospital,,9,0,0,0,0,9,0,0,0,0,0
TNEM-TX1 Erlanger Medical Center,,29,29,0,0,0,0,0,0,0,0,0
